tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation
T1-T2,0.2575593425104598,0.2723357376622894,0.0827,2,S*
T1-T3,0.0002751828929925,0.0003952846820768,0.2933,2,M***
T1-T4,0.0012807860534508,0.0027462806200849,0.2488,2,S***
T1-T5,0.0707882938200009,0.0459377033266876,-0.195,2,S*
T1-T2-T3,0.0002001959447514,0.0002405236107654,0.2869,3,M***
T1-T2-T4,0.0054810603846867,0.0066362376321878,0.2325,3,S***
T1-T2-T5,0.6090746402492507,0.2943187458116005,-0.0763,3,S*
T1-T3-T4,4.3969456591672097e-07,8.618192703261715e-06,0.3979,3,M***
T1-T3-T5,0.2407980942678283,0.2719645464607818,0.0989,3,S*
T1-T4-T5,0.5770070375509642,0.5763452580262448,0.0262,3,S*
T1-T2-T3-T4,5.320768540148768e-05,0.000229441255398,0.3381,4,M***
T1-T2-T3-T5,0.1237065052836397,0.0877949293445275,0.1337,4,S*
T1-T2-T4-T5,0.0404729058390633,0.036881169423977,0.1671,4,S**
T1-T3-T4-T5,0.1649701887968541,0.2262269644037163,0.1053,4,S*
T1-T2-T3-T4-T5,0.0378866337959414,0.0715943695084581,0.1601,5,S**
