tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation
T1-T2,0.4319369222346545,0.5565634724328369,0.066,2,S*
T1-T3,3.0658157463582163e-06,1.778467606211019e-05,0.3711,2,M***
T1-T4,4.152277304131037e-05,0.0001372333021086,0.3125,2,M***
T1-T5,0.6201124971122556,0.7129472348148089,-0.0442,2,S*
T1-T2-T3,2.5025831271200497e-05,4.8933845261503776e-05,0.3262,3,M***
T1-T2-T4,3.578807867444894e-06,4.6816449612378246e-05,0.3547,3,M***
T1-T2-T5,0.6399362378542981,0.5450825418754992,0.032,3,S*
T1-T3-T4,0.0174268197050097,0.0250863599180978,0.1966,3,S**
T1-T3-T5,0.0359077131540978,0.036572773348455,0.1516,3,S**
T1-T4-T5,0.6972751971017908,0.2787763214683321,0.0462,3,S*
T1-T2-T3-T4,1.5298504221151654e-09,1.490247569483896e-07,0.4655,4,L***
T1-T2-T3-T5,0.0019078097011858,0.0020888444366591,0.2516,4,S***
T1-T2-T4-T5,0.0034688890156131,0.0045594127350127,0.232,4,S***
T1-T3-T4-T5,0.0025212559271488,0.0067405025777563,0.2253,4,S***
T1-T2-T3-T4-T5,0.0015605263301889,0.0031768886430561,0.243,5,S***
