tasks,dare_ties_pass10,ties_pass10,weight-averaging_pass10
T2-T3,21.53% (+1.69),20.86% (+1.02),21.78% (+1.94)
T2-T4,22.27% (+2.43),21.98% (+2.14),22.63% (+2.79)
T2-T5,19.58% (-0.26),18.78% (-1.06),18.83% (-1.01)
T3-T4,21.88% (+2.04),21.9% (+2.06),22.1% (+2.26)
T3-T5,21.4% (+1.56),20.49% (+0.65),21.58% (+1.74)
T4-T5,20.82% (+0.98),19.5% (-0.34),20.58% (+0.74)
T2-T3-T4,22.41% (+2.57),21.59% (+1.75),22.2% (+2.36)
T2-T3-T5,20.52% (+0.68),19.79% (-0.05),20.08% (+0.24)
T2-T4-T5,20.83% (+0.99),20.33% (+0.49),21.41% (+1.57)
T3-T4-T5,20.89% (+1.05),20.76% (+0.92),21.42% (+1.58)
T2-T3-T4-T5,20.5% (+0.66),20.56% (+0.72),21.63% (+1.79)
