tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation
T2-T3,3.689077567503066e-06,4.302049108585598e-05,0.3766,2,M***
T2-T4,3.018080791321364e-12,2.6210816967757787e-10,0.5442,2,L***
T2-T5,1.319535759887578e-06,3.013698181526639e-05,-0.3558,2,M***
T3-T4,7.850619670593569e-09,1.0828390802273828e-07,0.4457,2,L***
T3-T5,0.0006014377259552,0.0007481435840853,0.275,2,S***
T4-T5,0.5873972341055795,0.6588329533518953,0.0441,2,S*
T2-T3-T4,8.584886186456275e-14,1.9537667261673352e-09,0.5661,3,L***
T2-T3-T5,0.0502519440408943,0.0365713872756142,0.1713,3,S*
T2-T4-T5,5.477806150750003e-08,2.121757228331345e-06,0.4257,3,M***
T3-T4-T5,6.93717883648253e-07,1.8627310413275325e-05,0.3807,3,M***
T2-T3-T4-T5,0.0003578221426763,0.0001450635560798,0.2955,4,M***
