tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation
T1-T2-T4,0.4612944075647585,0.6205162798090659,0.047,3,S*
T1-T2-T5,0.0070581556922849,0.0344666316769785,-0.2032,3,S***
T1-T4-T2,2.628086427973407e-05,2.7733863482427985e-05,0.3612,3,M***
T1-T4-T5,0.0506145304887238,0.0512321415151757,-0.1704,3,S*
T1-T5-T2,0.0008012321237125,0.0017754092402886,-0.2413,3,S***
T1-T5-T4,0.6627910127037536,0.6253783479405848,0.0316,3,S*
T2-T1-T4,0.0249917063076001,0.0432037351795448,0.1716,3,S**
T2-T1-T5,0.00236262153407,0.0021130686207574,-0.2394,3,S***
T2-T4-T1,0.8371424685602321,0.8906095152877423,0.0356,3,S*
T2-T5-T1,0.0103895289429211,0.0021872952496648,-0.2278,3,S**
T4-T1-T2,0.002425479525596,0.0009179235476966,0.2614,3,S***
T4-T1-T5,0.2144617893828356,0.4310615640798099,-0.0824,3,S*
T4-T2-T1,0.8509272709145608,0.8231532975996094,0.0168,3,S*
T4-T5-T1,0.8793241607810112,0.6229452589763704,0.0303,3,S*
T5-T1-T2,0.0016924635205297,0.0028407380343651,-0.2386,3,S***
T5-T1-T4,0.1453586795880596,0.1285764395425518,0.1246,3,S*
T5-T2-T1,0.7173173162675075,0.6900069147093293,-0.0294,3,S*
T5-T4-T1,0.5365798988994441,0.6205162798090659,-0.0498,3,S*
T1-T2-T4-T5,0.3081119071276487,0.3288245463489367,-0.0948,4,S*
T1-T2-T5-T4,0.1437205899168375,0.2565231689671972,-0.1078,4,S*
T1-T4-T2-T5,0.1916072059849358,0.219641494682706,-0.0877,4,S*
T1-T4-T5-T2,0.1215002052602053,0.1161096255733657,0.1241,4,S*
T1-T5-T2-T4,0.1685599916230522,0.1596425220138946,0.125,4,S*
T1-T5-T4-T2,0.371175452380156,0.277253131442673,0.0814,4,S*
T2-T1-T4-T5,0.507523653686216,0.28183975315858,-0.0578,4,S*
T2-T1-T5-T4,0.377477715718322,0.3120798490408729,0.0954,4,S*
T2-T4-T1-T5,0.0001110423529255,0.0005086744921633,-0.338,4,M***
T2-T4-T5-T1,0.0645958291994291,0.0881181481571745,-0.111,4,S*
T2-T5-T1-T4,0.2218599803700334,0.2803051943535077,0.0983,4,S*
T2-T5-T4-T1,0.3891007172046572,0.3768854572946933,-0.0404,4,S*
T4-T1-T2-T5,0.007905072103074,0.010115174724622,-0.1943,4,S***
T4-T1-T5-T2,0.7175180206268374,0.7206533187202941,0.0337,4,S*
T4-T2-T1-T5,0.0010087093415357,0.001616328763465,-0.2216,4,S***
T4-T2-T5-T1,0.0169994937760804,0.0126745384622292,-0.1696,4,S**
T4-T5-T1-T2,0.0930200331522728,0.1347393310082233,-0.1106,4,S*
T4-T5-T2-T1,0.1771245365372168,0.1937083394377738,-0.1064,4,S*
T5-T1-T2-T4,0.2171327674764134,0.1536073341933093,0.094,4,S*
T5-T1-T4-T2,0.1777181146996998,0.0953976315889817,0.1052,4,S*
T5-T2-T1-T4,0.0397298620900907,0.043560371953583,0.177,4,S**
T5-T2-T4-T1,0.7844878859185819,0.7465418609724369,0.0218,4,S*
T5-T4-T1-T2,0.1846684701573578,0.1506555530326218,-0.096,4,S*
T5-T4-T2-T1,0.7776837099533789,0.6400619540504373,0.03,4,S*
