constituent_tasks,tasks,starcoder2-3b-dare-ties,starcoder2-3b-ties,starcoder2-3b-weight-averaging,granite-3b-code-base-dare-ties,granite-3b-code-base-ties,granite-3b-code-base-weight-averaging
T1-T2-T4,T1-T2-T4,40.25% (+1.14) M***,39.12% (+0.01) S*,38.5% (-0.61) S*,22.31% (+2.47) L***,21.38% (+1.54) S*,21.57% (+1.73) M***
T1-T2-T4,T1-T4-T2,39.32% (+0.21) S**,39.57% (+0.46) S*,39.21% (+0.1) S***,21.84% (+2.0) M***,22.09% (+2.25) M***,21.73% (+1.89) M***
T1-T2-T4,T2-T1-T4,39.15% (+0.04) S*,39.12% (+0.01) S*,38.5% (-0.61) S*,21.56% (+1.72) M***,21.38% (+1.54) S**,21.57% (+1.73) M***
T1-T2-T4,T2-T4-T1,39.78% (+0.67) S***,39.98% (+0.87) S*,40.75% (+1.64) M***,22.38% (+2.54) M***,20.6% (+0.76) S*,21.25% (+1.41) M***
T1-T2-T4,T4-T1-T2,39.81% (+0.7) S*,39.57% (+0.46) S*,39.21% (+0.1) S*,21.41% (+1.57) M***,22.09% (+2.25) S***,21.73% (+1.89) M***
T1-T2-T4,T4-T2-T1,41.51% (+2.4) L***,39.98% (+0.87) S*,40.75% (+1.64) M***,22.11% (+2.27) M***,20.6% (+0.76) S*,21.25% (+1.41) S***
T1-T2-T5,T1-T2-T5,34.9% (-4.21) L***,34.99% (-4.12) L***,35.05% (-4.06) L***,19.13% (-0.71) S*,18.99% (-0.85) S***,19.44% (-0.4) S*
T1-T2-T5,T1-T5-T2,39.26% (+0.15) S*,39.49% (+0.38) S*,39.74% (+0.63) S***,20.43% (+0.59) S*,19.47% (-0.37) S***,20.19% (+0.35) S*
T1-T2-T5,T2-T1-T5,34.71% (-4.4) L***,34.99% (-4.12) L***,35.05% (-4.06) L***,19.45% (-0.39) S*,18.99% (-0.85) S***,19.44% (-0.4) S*
T1-T2-T5,T2-T5-T1,40.32% (+1.21) S***,41.06% (+1.95) M***,39.89% (+0.78) S***,19.91% (+0.07) S*,19.84% (+0.0) S**,20.3% (+0.46) S*
T1-T2-T5,T5-T1-T2,38.82% (-0.29) S*,39.49% (+0.38) S*,39.74% (+0.63) S***,20.68% (+0.84) S*,19.47% (-0.37) S***,20.19% (+0.35) S**
T1-T2-T5,T5-T2-T1,39.88% (+0.77) S***,41.06% (+1.95) M***,39.89% (+0.78) S***,20.02% (+0.18) S*,19.84% (+0.0) S*,20.3% (+0.46) S**
T1-T4-T5,T1-T4-T5,35.16% (-3.95) L***,33.71% (-5.4) L***,35.12% (-3.99) L***,20.22% (+0.38) S*,19.78% (-0.06) S*,19.84% (+0.0) S*
T1-T4-T5,T1-T5-T4,36.34% (-2.77) S***,34.11% (-5.0) L***,37.06% (-2.05) S***,21.25% (+1.41) M***,20.68% (+0.84) S*,21.31% (+1.47) M***
T1-T4-T5,T4-T1-T5,33.7% (-5.41) L***,33.71% (-5.4) L***,35.12% (-3.99) M***,20.38% (+0.54) S*,19.78% (-0.06) S*,19.84% (+0.0) S*
T1-T4-T5,T4-T5-T1,37.88% (-1.23) S*,37.16% (-1.95) S***,37.19% (-1.92) S*,21.03% (+1.19) S**,20.07% (+0.23) S*,19.77% (-0.07) S*
T1-T4-T5,T5-T1-T4,35.19% (-3.92) M***,34.11% (-5.0) L***,37.06% (-2.05) S**,20.81% (+0.97) S*,20.68% (+0.84) S*,21.31% (+1.47) M***
T1-T4-T5,T5-T4-T1,38.03% (-1.08) S*,37.16% (-1.95) M***,37.19% (-1.92) S**,19.83% (-0.01) S*,20.07% (+0.23) S*,19.77% (-0.07) S*
