tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation
T1-T2,0.0085663053367847,0.0280140495047836,0.2108,2,S***
T1-T3,3.159293655868246e-08,9.772026044186042e-07,0.436,2,L***
T1-T4,0.6633952274976135,0.6425231921087418,-0.03,2,S*
T1-T5,5.123191968471309e-13,1.2502257583212634e-10,-0.5552,2,L***
T1-T2-T3,2.362099945449119e-05,6.044250133396019e-06,0.326,3,M***
T1-T2-T4,0.8712569372278237,0.7465418609724369,0.0288,3,S*
T1-T2-T5,0.3100129834544708,0.3120798490408729,-0.0908,3,S*
T1-T3-T4,0.0128202357798575,0.0256498257341969,0.196,3,S**
T1-T3-T5,0.3084647000508328,0.234179897357594,-0.0864,3,S*
T1-T4-T5,0.0026886484926487,0.0020888444366591,-0.2658,3,S***
T1-T2-T3-T4,0.002294158941431,0.0034333499852345,0.2378,4,S***
T1-T2-T3-T5,0.0056709219129513,0.010628687688281,0.2124,4,S***
T1-T2-T4-T5,0.4314515117127508,0.3187090789328131,-0.063,4,S*
T1-T3-T4-T5,0.0218943527357771,0.0210483558873679,-0.1774,4,S**
T1-T2-T3-T4-T5,0.9829833746817598,0.6598606407090197,0.0038,5,S*
