tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation
T1-T2,0.026978768052369,0.0305632822581847,0.1994,2,S**
T1-T3,2.3451848229741665e-07,1.2124728425883013e-07,0.4158,2,M***
T1-T4,0.0030322725609002,0.013365450338084,-0.2303,2,S***
T1-T5,1.6204149846968363e-08,7.768592370759394e-08,-0.4409,2,L***
T1-T2-T3,2.1965422008920373e-07,4.436671158557247e-07,0.4194,3,M***
T1-T2-T4,0.3219494409788903,0.3905495977905435,-0.0678,3,S*
T1-T2-T5,0.0397583839764759,0.136127671937894,-0.1512,3,S**
T1-T3-T4,0.0895091151442665,0.0993999256280188,0.1427,3,S*
T1-T3-T5,0.2412402451476389,0.2500921401815189,0.1055,3,S*
T1-T4-T5,1.549571859698803e-06,4.808232935731382e-06,-0.3544,3,M***
T1-T2-T3-T4,0.0529964331097961,0.0365557241999425,0.1689,4,S*
T1-T2-T3-T5,0.1227654216900157,0.1117813955286672,0.134,4,S*
T1-T2-T4-T5,0.5306445991352366,0.5080478311979624,-0.0337,4,S*
T1-T3-T4-T5,0.0087983399981481,0.0176704155724796,-0.2026,4,S***
T1-T2-T3-T4-T5,0.554227538438949,0.9438068656772578,-0.0275,5,S*
