tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation
T1-T2,0.4535407937435496,0.5382508806114013,0.082,2,S*
T1-T3,0.0004788607470789,0.0008956007594853,0.2964,2,M***
T1-T4,0.0037020380954754,0.001616328763465,-0.2414,2,S***
T1-T5,2.2445030765316667e-21,8.139713836303198e-14,-0.7188,2,L***
T1-T2-T3,4.8578675547827644e-08,6.66217010582698e-06,0.4206,3,M***
T1-T2-T4,0.0099579060789337,0.0056427160483168,0.1998,3,S***
T1-T2-T5,9.044230681442489e-08,5.453214460509749e-07,-0.404,3,M***
T1-T3-T4,0.7558127110605024,0.8285088118253296,-0.0268,3,S*
T1-T3-T5,1.1712706691316202e-12,3.5564577539504604e-09,-0.5664,3,L***
T1-T4-T5,1.786576327824892e-12,2.6217153506322317e-10,-0.539,3,L***
T1-T2-T3-T4,0.0160862517658923,0.0195631464911002,0.2062,4,S**
T1-T2-T3-T5,0.9098738370949668,0.5775215365287132,0.0164,4,S*
T1-T2-T4-T5,0.0003355488947424,0.0008112475801067,-0.265,4,S***
T1-T3-T4-T5,0.0005504413231619,0.0008112475801067,-0.2626,4,S***
T1-T2-T3-T4-T5,3.36851442156152e-07,4.285347237583548e-06,-0.4188,5,M***
