tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation
T1-T2,0.1940428137894411,0.2601420085722591,0.0829,2,S*
T1-T3,0.0005263386766611,0.0001932783811209,0.2919,2,M***
T1-T4,0.0001680072748337,0.0023294937629204,-0.2929,2,M***
T1-T5,1.1411676608617533e-07,9.942353412203005e-07,-0.4304,2,L***
T1-T2-T3,5.715713824969224e-09,2.5722831536944455e-07,0.4621,3,L***
T1-T2-T4,0.0277933364216048,0.0129829884228752,0.1835,3,S**
T1-T2-T5,5.2923275878207406e-06,1.5583761220510498e-05,-0.3705,3,M***
T1-T3-T4,0.9823785366243688,0.9410706976276464,0.0189,3,S*
T1-T3-T5,0.1335418368875241,0.1311874605075714,-0.1031,3,S*
T1-T4-T5,3.654999504522498e-06,3.1254897030948296e-06,-0.3808,3,M***
T1-T2-T3-T4,4.5312735484175733e-07,5.898190811315019e-06,0.4054,4,M***
T1-T2-T3-T5,0.1317526939138109,0.1083398248600145,-0.1231,4,S*
T1-T2-T4-T5,5.138353919270028e-06,2.649674585179827e-05,-0.3662,4,M***
T1-T3-T4-T5,0.1523424651114485,0.3496680597291037,-0.1282,4,S*
T1-T2-T3-T4-T5,0.2724219898102077,0.1020638268211038,-0.109,5,S*
