tasks,dare_ties_pass1,dare_ties_pass10,ties_pass1,ties_pass10,weight-averaging_pass1,weight-averaging_pass10,task_length
T2-T3,0.3030487804878048,0.3948253900068066,0.3195121951219511,0.4179224979128701,0.3067073170731707,0.4079204464266384,2
T2-T4,0.272560975609756,0.3709129021322256,0.2719512195121951,0.3789167017381923,0.2661585365853658,0.3594107838472786,2
T2-T5,0.2585365853658536,0.3561689009472744,0.2628048780487805,0.3649471234044216,0.2582317073170732,0.3517467533976255,2
T3-T4,0.2725609756097561,0.3749836303543923,0.2789634146341463,0.392107731806063,0.2899390243902439,0.4046894216181764,2
T3-T5,0.2600609756097561,0.3545966228893059,0.2682926829268292,0.3699643207732387,0.2637195121951219,0.3578345453911791,2
T4-T5,0.2442073170731707,0.3254299078177731,0.2478658536585366,0.3433254288187083,0.2490853658536585,0.3324542679626497,2
T2-T3-T4,0.2926829268292683,0.3945033436321287,0.2911585365853658,0.4101927248542442,0.2908536585365853,0.4071290598701306,3
T2-T3-T5,0.2902439024390243,0.3960430144121528,0.2847560975609756,0.3916908668994677,0.2777439024390243,0.3927568410597181,3
T2-T4-T5,0.2509146341463415,0.3340353249031418,0.2588414634146341,0.3564451057135872,0.2615853658536585,0.3596014110106461,3
T3-T4-T5,0.2780487804878048,0.3729059394882849,0.2710365853658536,0.3758273271695457,0.2637195121951219,0.360053721480513,3
T2-T3-T4-T5,0.275,0.3827118852604014,0.2783536585365854,0.381982247911418,0.2728658536585365,0.3692563336007042,4
