tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation
T2-T3,8.972493514978055e-07,9.110989609422744e-07,0.4048,2,M***
T2-T4,0.0132333701783941,0.0153498017532821,-0.2206,2,S**
T2-T5,0.0001813742520492,0.0004031146901668,-0.3086,2,M***
T3-T4,0.0317438571516543,0.0240993856893421,0.1756,2,S**
T3-T5,0.0032209334594895,0.0058854106364292,-0.2374,2,S***
T4-T5,2.431258954115792e-13,7.365085129144918e-10,-0.5698,2,L***
T2-T3-T4,0.0001493051618011,6.945593503831391e-05,0.2982,3,M***
T2-T3-T5,0.9372566030896584,0.5869540189208129,-0.0108,3,S*
T2-T4-T5,8.198856804296442e-07,2.923510254872339e-06,-0.392,3,M***
T3-T4-T5,0.0118992211979894,0.0100151639165336,-0.2224,3,S**
T2-T3-T4-T5,0.4525322911871886,0.5893232417473824,-0.0498,4,S*
