tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation,constituent_tasks
T1-T2-T4,0.0055587101483042,0.0073582546335323,-0.2089,3,S***,T1-T2-T4
T1-T4-T2,0.3692034940995476,0.3271229061531469,0.0697,3,S*,T1-T2-T4
T2-T1-T4,0.0017789413361839,0.0010248401893916,-0.2584,3,S***,T1-T2-T4
T2-T4-T1,0.5590792522392226,0.5928836832526105,-0.0568,3,S*,T1-T2-T4
T4-T1-T2,0.991681427842764,0.8378989631460798,-0.021,3,S*,T1-T2-T4
T4-T2-T1,0.232262083754318,0.1555979556814786,-0.1093,3,S*,T1-T2-T4
T1-T2-T5,4.147928574078069e-12,1.6272111087064142e-09,-0.5629,3,L***,T1-T2-T5
T1-T5-T2,0.0025821734555766,0.0084525347661388,-0.2279,3,S***,T1-T2-T5
T2-T1-T5,3.607765832127129e-11,1.3753191279748764e-09,-0.5164,3,L***,T1-T2-T5
T2-T5-T1,0.0002613469668293,0.0002805729311643,-0.2909,3,M***,T1-T2-T5
T5-T1-T2,0.000984210650814,0.004434127400122,-0.2523,3,S***,T1-T2-T5
T5-T2-T1,0.0016456696217512,0.0044616463858285,-0.2532,3,S***,T1-T2-T5
T1-T4-T5,2.8729619964927225e-14,7.8590994030218e-10,-0.5777,3,L***,T1-T4-T5
T1-T5-T4,1.1220575838036943e-11,1.0724560940228572e-08,-0.5259,3,L***,T1-T4-T5
T4-T1-T5,6.141503286722408e-19,2.444315065991728e-13,-0.671,3,L***,T1-T4-T5
T4-T5-T1,1.061318585251807e-06,9.336128626071544e-06,-0.3963,3,M***,T1-T4-T5
T5-T1-T4,5.660029719110517e-09,8.872897820369107e-07,-0.4623,3,L***,T1-T4-T5
T5-T4-T1,1.6374385269102872e-06,3.6013222029151014e-06,-0.38,3,M***,T1-T4-T5
T1-T2-T4-T5,2.015819385968734e-09,7.696200584384916e-08,-0.4634,4,L***,T1-T2-T4-T5
T1-T2-T5-T4,2.6843927732497472e-08,1.6976421141081522e-07,-0.4389,4,L***,T1-T2-T4-T5
T1-T4-T2-T5,1.4827371335116726e-10,9.449697898145544e-09,-0.4987,4,L***,T1-T2-T4-T5
T1-T4-T5-T2,2.3168822081915995e-05,2.189443979926472e-05,-0.3697,4,M***,T1-T2-T4-T5
T1-T5-T2-T4,3.1037865802526153e-09,2.159997752457901e-07,-0.4596,4,L***,T1-T2-T4-T5
T1-T5-T4-T2,2.384105194958656e-05,2.3999654882158225e-05,-0.3409,4,M***,T1-T2-T4-T5
T2-T1-T4-T5,2.5968483932439716e-10,5.0827203999949226e-08,-0.5027,4,L***,T1-T2-T4-T5
T2-T1-T5-T4,5.449712873928588e-12,8.663364399847651e-10,-0.5372,4,L***,T1-T2-T4-T5
T2-T4-T1-T5,1.1472728403575861e-12,1.4807839359876042e-10,-0.5436,4,L***,T1-T2-T4-T5
T2-T4-T5-T1,2.8145522168373776e-07,1.9158104362924687e-06,-0.4057,4,M***,T1-T2-T4-T5
T2-T5-T1-T4,8.663962742467667e-06,1.0029425211153615e-05,-0.3491,4,M***,T1-T2-T4-T5
T2-T5-T4-T1,0.0032899787746871,0.0052674050321278,-0.2442,4,S***,T1-T2-T4-T5
T4-T1-T2-T5,1.7114498317269693e-14,1.0512690967340965e-11,-0.5963,4,L***,T1-T2-T4-T5
T4-T1-T5-T2,0.0018855926776421,0.0027002239830094,-0.2724,4,S***,T1-T2-T4-T5
T4-T2-T1-T5,5.653761232698869e-15,7.983516717773714e-12,-0.5974,4,L***,T1-T2-T4-T5
T4-T2-T5-T1,3.496169881309013e-05,2.6903660649301093e-05,-0.3435,4,M***,T1-T2-T4-T5
T4-T5-T1-T2,0.0634038591013296,0.1009865731596755,-0.1166,4,S*,T1-T2-T4-T5
T4-T5-T2-T1,0.7579306789950472,0.9263061599095712,-0.0074,4,S*,T1-T2-T4-T5
T5-T1-T2-T4,5.551057995502619e-10,3.806349671269521e-08,-0.4723,4,L***,T1-T2-T4-T5
T5-T1-T4-T2,0.0751189382946444,0.0664193587021349,-0.138,4,S*,T1-T2-T4-T5
T5-T2-T1-T4,1.1981937574046284e-07,9.270893527575776e-07,-0.4327,4,L***,T1-T2-T4-T5
T5-T2-T4-T1,0.0417965173403014,0.086843318260947,-0.1489,4,S**,T1-T2-T4-T5
T5-T4-T1-T2,0.3350196434679171,0.440487363961473,-0.0944,4,S*,T1-T2-T4-T5
T5-T4-T2-T1,0.3032555388022201,0.2818369087094499,0.0724,4,S*,T1-T2-T4-T5
