tasks,dare_ties_pass10,ties_pass10,weight-averaging_pass10
T1-T2,19.37% (-0.47),19.97% (+0.13),19.51% (-0.33)
T1-T3,21.32% (+1.48),20.52% (+0.68),21.29% (+1.45)
T1-T4,21.57% (+1.73),21.15% (+1.31),21.65% (+1.81)
T1-T5,19.29% (-0.55),19.26% (-0.58),19.49% (-0.35)
T1-T2-T3,20.44% (+0.6),21.27% (+1.43),21.65% (+1.81)
T1-T2-T4,20.44% (+0.6),21.41% (+1.57),21.53% (+1.69)
T1-T2-T5,19.84% (+0.0),19.48% (-0.36),19.97% (+0.13)
T1-T3-T4,21.96% (+2.12),21.58% (+1.74),21.16% (+1.32)
T1-T3-T5,20.45% (+0.61),19.85% (+0.01),20.52% (+0.68)
T1-T4-T5,19.76% (-0.08),20.51% (+0.67),20.15% (+0.31)
T1-T2-T3-T4,20.83% (+0.99),20.68% (+0.84),22.45% (+2.61)
T1-T2-T3-T5,19.18% (-0.66),19.91% (+0.07),20.92% (+1.08)
T1-T2-T4-T5,21.37% (+1.53),20.88% (+1.04),21.11% (+1.27)
T1-T3-T4-T5,20.55% (+0.71),20.68% (+0.84),21.07% (+1.23)
T1-T2-T3-T4-T5,20.82% (+0.98),19.69% (-0.15),20.89% (+1.05)
