tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation
T1-T2,0.9038898565554389,0.8298472140288549,-0.0059,2,S*
T1-T3,0.0896874679016141,0.0340281270876212,0.1353,2,S*
T1-T4,0.0035882717024345,0.0124304663126174,0.2262,2,S***
T1-T5,1.990236801677028e-08,6.870764459149878e-07,-0.4447,2,L***
T1-T2-T3,0.0020176487821141,0.0024383219860168,0.2366,3,S***
T1-T2-T4,0.0045920315918075,0.0103175298104059,0.2152,3,S***
T1-T2-T5,0.0027213436628617,0.0012895794739899,-0.2491,3,S***
T1-T3-T4,3.123248791775538e-05,0.0001128017173436,0.3337,3,M***
T1-T3-T5,0.0055370777219115,0.005702064017564,0.209,3,S***
T1-T4-T5,0.2656823538375293,0.3120780613717762,0.0711,3,S*
T1-T2-T3-T4,3.073647503210034e-05,2.601353823305071e-05,0.3394,4,M***
T1-T2-T3-T5,0.0213277351010085,0.017343498926563,0.1952,4,S**
T1-T2-T4-T5,0.1025995440204798,0.1596400545939711,0.131,4,S*
T1-T3-T4-T5,0.0035070803639019,0.0065674289023616,0.2285,4,S***
T1-T2-T3-T4-T5,0.0010132305305907,0.0005852756442621,0.2612,5,S***
