tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation,constituent_tasks
T1-T2-T4,3.6602276605352174e-08,6.872193234754664e-07,0.4308,3,L***,T1-T2-T4
T1-T4-T2,2.729106656982568e-06,3.2743335064694673e-05,0.3718,3,M***,T1-T2-T4
T2-T1-T4,3.133335469380382e-06,9.79338216815041e-06,0.3642,3,M***,T1-T2-T4
T2-T4-T1,3.463586256501422e-07,1.1476512377739004e-05,0.3889,3,M***,T1-T2-T4
T4-T1-T2,2.657418765846677e-05,1.8629428688391447e-05,0.3339,3,M***,T1-T2-T4
T4-T2-T1,4.448100127767036e-05,1.0271825119150714e-05,0.3414,3,M***,T1-T2-T4
T1-T2-T5,0.7846941430140958,0.9178441245028052,-0.018,3,S*,T1-T2-T5
T1-T5-T2,0.3956461915940145,0.4535228727011142,0.0711,3,S*,T1-T2-T5
T2-T1-T5,0.3201485179927671,0.1937083394377738,-0.0764,3,S*,T1-T2-T5
T2-T5-T1,0.3707625047552764,0.4171103591647601,0.0738,3,S*,T1-T2-T5
T5-T1-T2,0.0941140212578819,0.1251544595595329,0.153,3,S*,T1-T2-T5
T5-T2-T1,0.2544678674671151,0.2697223085340154,0.0942,3,S*,T1-T2-T5
T1-T4-T5,0.5472885521943764,0.7155127213140642,0.0644,3,S*,T1-T4-T5
T1-T5-T4,1.6645850981268966e-05,6.143280100634307e-06,0.3546,3,M***,T1-T4-T5
T4-T1-T5,0.0601163585241478,0.081895482588252,0.1648,3,S*,T1-T4-T5
T4-T5-T1,0.0248446802981046,0.0218271338915707,0.1828,3,S**,T1-T4-T5
T5-T1-T4,0.0534145203462982,0.0849607498952159,0.1552,3,S*,T1-T4-T5
T5-T4-T1,0.6346290977282135,0.8554012757415651,-0.018,3,S*,T1-T4-T5
T1-T2-T4-T5,0.020592033267605,0.0139556757358696,0.1914,4,S**,T1-T2-T4-T5
T1-T2-T5-T4,0.0069622754237719,0.0154957398337628,0.2086,4,S***,T1-T2-T4-T5
T1-T4-T2-T5,0.4770726017745952,0.3806100366838227,0.0618,4,S*,T1-T2-T4-T5
T1-T4-T5-T2,0.0051475822255373,0.0061374741651446,0.2255,4,S***,T1-T2-T4-T5
T1-T5-T2-T4,6.856284626991226e-05,0.0007435485144769,0.3118,4,M***,T1-T2-T4-T5
T1-T5-T4-T2,0.0052942793846611,0.0060102519649884,0.2224,4,S***,T1-T2-T4-T5
T2-T1-T4-T5,0.1080582858463104,0.111397197415053,0.1214,4,S*,T1-T2-T4-T5
T2-T1-T5-T4,0.021891280758815,0.0212407456292429,0.17,4,S**,T1-T2-T4-T5
T2-T4-T1-T5,0.883824036451659,0.6623526798628128,0.0318,4,S*,T1-T2-T4-T5
T2-T4-T5-T1,0.5516170841748389,0.6976233342391592,-0.0454,4,S*,T1-T2-T4-T5
T2-T5-T1-T4,3.956637129401904e-05,6.367203484431509e-05,0.3364,4,M***,T1-T2-T4-T5
T2-T5-T4-T1,0.8558920613323675,0.8018158769149264,0.0163,4,S*,T1-T2-T4-T5
T4-T1-T2-T5,0.1323837759005363,0.1383621129360289,-0.1198,4,S*,T1-T2-T4-T5
T4-T1-T5-T2,0.0791656373633099,0.1606655891996008,0.1444,4,S*,T1-T2-T4-T5
T4-T2-T1-T5,0.000281386753995,0.0005353945173863,0.3022,4,M***,T1-T2-T4-T5
T4-T2-T5-T1,0.0249217969229667,0.0572504721619659,0.1736,4,S**,T1-T2-T4-T5
T4-T5-T1-T2,0.016686279108573,0.0275267194874958,0.1988,4,S**,T1-T2-T4-T5
T4-T5-T2-T1,0.2303350966842842,0.1788239173398451,0.1084,4,S*,T1-T2-T4-T5
T5-T1-T2-T4,0.0002025780136105,0.000377651617653,0.2862,4,M***,T1-T2-T4-T5
T5-T1-T4-T2,0.0483524001058552,0.0754672820319289,0.1342,4,S**,T1-T2-T4-T5
T5-T2-T1-T4,1.3774455605594515e-05,1.9213684786277983e-05,0.3682,4,M***,T1-T2-T4-T5
T5-T2-T4-T1,0.002670800675921,0.0022380994020437,0.2313,4,S***,T1-T2-T4-T5
T5-T4-T1-T2,0.1034582672351447,0.065337462250712,0.136,4,S*,T1-T2-T4-T5
T5-T4-T2-T1,0.0639403317039137,0.037194304323534,0.1376,4,S*,T1-T2-T4-T5
