tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation,constituent_tasks
T1-T2-T4,0.0001737616474954,0.0009523179816645,0.2772,3,S***,T1-T2-T4
T1-T4-T2,0.008146588976675,0.0131101065458842,0.2095,3,S***,T1-T2-T4
T2-T1-T4,1.574409062473734e-07,5.4483935591102666e-08,0.403,3,M***,T1-T2-T4
T2-T4-T1,0.246448514786694,0.2864736571727613,0.0777,3,S*,T1-T2-T4
T4-T1-T2,0.0061391162199195,0.0166286960320393,0.2073,3,S***,T1-T2-T4
T4-T2-T1,0.0293320064057158,0.0365723575251293,0.1653,3,S**,T1-T2-T4
T1-T2-T5,0.0010045505884133,0.0028727253139449,-0.2773,3,S***,T1-T2-T5
T1-T5-T2,0.4439128461736134,0.610341674568111,0.0259,3,S*,T1-T2-T5
T2-T1-T5,0.012602770908095,0.0113306092145437,-0.2103,3,S**,T1-T2-T5
T2-T5-T1,0.2034063680236035,0.1799367968113084,-0.1044,3,S*,T1-T2-T5
T5-T1-T2,0.7393792135091489,0.9438066584179744,-0.002,3,S*,T1-T2-T5
T5-T2-T1,0.2942131203775541,0.2301471842447666,-0.112,3,S*,T1-T2-T5
T1-T4-T5,0.0356087290793425,0.0533728902223566,-0.2056,3,S**,T1-T4-T5
T1-T5-T4,0.0002299417909562,0.0009292447666166,0.2792,3,S***,T1-T4-T5
T4-T1-T5,0.1850520536328156,0.1477454125879403,-0.1282,3,S*,T1-T4-T5
T4-T5-T1,0.2551358022958123,0.0849575253086495,-0.1421,3,S*,T1-T4-T5
T5-T1-T4,0.0846706220318291,0.1439361094060816,0.1185,3,S*,T1-T4-T5
T5-T4-T1,0.3978165910819556,0.4361079639798071,-0.0771,3,S*,T1-T4-T5
T1-T2-T4-T5,0.7821920384242684,0.7374426368272295,0.0123,4,S*,T1-T2-T4-T5
T1-T2-T5-T4,0.0942155722490805,0.2712076016292774,0.1027,4,S*,T1-T2-T4-T5
T1-T4-T2-T5,0.1403831597831898,0.0930282878170617,-0.125,4,S*,T1-T2-T4-T5
T1-T4-T5-T2,0.0589112656012278,0.0486205589513852,0.1433,4,S*,T1-T2-T4-T5
T1-T5-T2-T4,2.164049126272789e-05,0.0002044873931926,0.33,4,M***,T1-T2-T4-T5
T1-T5-T4-T2,0.0061550172427424,0.0092205129418555,0.1924,4,S***,T1-T2-T4-T5
T2-T1-T4-T5,0.466190546349617,0.5202435200383924,0.0334,4,S*,T1-T2-T4-T5
T2-T1-T5-T4,0.0002369922786485,0.0003311547711956,0.2865,4,M***,T1-T2-T4-T5
T2-T4-T1-T5,0.1597545488069676,0.1149154708566085,-0.1454,4,S*,T1-T2-T4-T5
T2-T4-T5-T1,0.0967546743801106,0.1611077583325496,0.1173,4,S*,T1-T2-T4-T5
T2-T5-T1-T4,0.0020783925037106,0.0034714394367898,0.2183,4,S***,T1-T2-T4-T5
T2-T5-T4-T1,0.3048188562035593,0.3909633918272963,0.0505,4,S*,T1-T2-T4-T5
T4-T1-T2-T5,0.0766393739117964,0.0229374178142424,-0.1496,4,S*,T1-T2-T4-T5
T4-T1-T5-T2,0.0854655832439372,0.1511423769422654,0.1086,4,S*,T1-T2-T4-T5
T4-T2-T1-T5,0.0735845502485139,0.0472646737543245,-0.1683,4,S*,T1-T2-T4-T5
T4-T2-T5-T1,0.655946752376342,0.8432756541921647,0.009,4,S*,T1-T2-T4-T5
T4-T5-T1-T2,0.0197556388814091,0.0308278966431935,0.1701,4,S**,T1-T2-T4-T5
T4-T5-T2-T1,0.3542110087304597,0.5269589337485421,0.034,4,S*,T1-T2-T4-T5
T5-T1-T2-T4,0.0002402592219904,0.0007206172584871,0.2849,4,M***,T1-T2-T4-T5
T5-T1-T4-T2,0.0894460844396816,0.1290081203804853,0.126,4,S*,T1-T2-T4-T5
T5-T2-T1-T4,0.0027407127851103,0.0029875985046101,0.2318,4,S***,T1-T2-T4-T5
T5-T2-T4-T1,0.3048440791494263,0.2919503182472963,0.0541,4,S*,T1-T2-T4-T5
T5-T4-T1-T2,0.0332877993865949,0.0401027464805352,0.1666,4,S**,T1-T2-T4-T5
T5-T4-T2-T1,0.025318476433472,0.0175066218623454,0.1885,4,S**,T1-T2-T4-T5
