tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation
T1-T2,0.6297525548434126,0.4938320601564909,0.0558,2,S*
T1-T3,3.3872657552903425e-08,3.09982469603015e-08,0.4404,2,L***
T1-T4,1.5034638921847514e-05,4.478612595328757e-05,-0.3488,2,M***
T1-T5,1.1724830001060837e-21,2.0689769896103186e-13,-0.7208,2,L***
T1-T2-T3,1.625349254619588e-10,6.218652722324681e-09,0.5062,3,L***
T1-T2-T4,0.1800831156811698,0.1268564686781493,0.1084,3,S*
T1-T2-T5,0.4272661666639794,0.5822288568473547,-0.069,3,S*
T1-T3-T4,0.1906741737747781,0.1303144795171302,-0.0998,3,S*
T1-T3-T5,0.6845466330887238,1.0,-0.0256,3,S*
T1-T4-T5,0.0608815360215522,0.0766043976360189,-0.1444,3,S*
T1-T2-T3-T4,0.0380526074077644,0.0559135789702011,0.1632,4,S**
T1-T2-T3-T5,0.0290424181934652,0.0516437060347023,0.1646,4,S**
T1-T2-T4-T5,0.0427329194808567,0.0465039699256207,-0.1516,4,S**
T1-T3-T4-T5,0.0101331185631347,0.0193840894950769,-0.2058,4,S**
T1-T2-T3-T4-T5,0.885576777857422,0.6351513625895362,-0.0166,5,S*
