tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation,constituent_tasks
T1-T2-T4,0.0557055899205393,0.1199630198502293,-0.1381,3,S*,T1-T2-T4
T1-T4-T2,0.3403054132838093,0.5224749285324728,-0.0563,3,S*,T1-T2-T4
T2-T1-T4,0.1053232473114397,0.2787731248346823,-0.0783,3,S*,T1-T2-T4
T2-T4-T1,0.0517547848679342,0.0288840718694202,0.1769,3,S*,T1-T2-T4
T4-T1-T2,0.0416731732619957,0.0599349387476716,-0.1525,3,S**,T1-T2-T4
T4-T2-T1,0.0396041924195412,0.0258774461735414,0.1983,3,S**,T1-T2-T4
T1-T2-T5,1.779096090921373e-09,1.3058679022536752e-08,-0.4931,3,L***,T1-T2-T5
T1-T5-T2,0.2579326521599828,0.2228826181847544,-0.0709,3,S*,T1-T2-T5
T2-T1-T5,3.747879037786178e-12,8.385146591400952e-10,-0.5358,3,L***,T1-T2-T5
T2-T5-T1,0.0027254066161211,0.0032844684313888,-0.2136,3,S***,T1-T2-T5
T5-T1-T2,0.4315829058041155,0.2248503248960878,-0.0838,3,S*,T1-T2-T5
T5-T2-T1,0.8166705506569144,0.8655765422682571,0.0018,3,S*,T1-T2-T5
T1-T4-T5,1.5053697205906985e-12,5.795533742480612e-10,-0.5629,3,L***,T1-T4-T5
T1-T5-T4,1.946134794135924e-11,8.747858429039987e-10,-0.5109,3,L***,T1-T4-T5
T4-T1-T5,5.631694606549436e-20,2.1226633316416325e-13,-0.6954,3,L***,T1-T4-T5
T4-T5-T1,0.0004380352057215,0.0005669830112654,-0.2536,3,S***,T1-T4-T5
T5-T1-T4,9.248052594900534e-09,4.319435889859362e-08,-0.4515,3,L***,T1-T4-T5
T5-T4-T1,0.0009226402770961,0.0004191284790179,-0.2534,3,S***,T1-T4-T5
T1-T2-T4-T5,1.2636682853713338e-17,1.7209117058013413e-14,-0.664,4,L***,T1-T2-T4-T5
T1-T2-T5-T4,2.590016107504727e-17,2.5515946351714736e-11,-0.6568,4,L***,T1-T2-T4-T5
T1-T4-T2-T5,2.3936429652823477e-16,4.4111954898166216e-11,-0.64,4,L***,T1-T2-T4-T5
T1-T4-T5-T2,3.2208835833953265e-07,8.952086019271813e-07,-0.3977,4,M***,T1-T2-T4-T5
T1-T5-T2-T4,2.7397151480917787e-10,2.1949256033045693e-08,-0.5019,4,L***,T1-T2-T4-T5
T1-T5-T4-T2,0.1528738312957454,0.1867276609476205,-0.0974,4,S*,T1-T2-T4-T5
T2-T1-T4-T5,9.133850871356544e-13,7.930870348358733e-11,-0.5502,4,L***,T1-T2-T4-T5
T2-T1-T5-T4,3.6275018642646605e-09,1.0124583664745333e-07,-0.4515,4,L***,T1-T2-T4-T5
T2-T4-T1-T5,5.088582802978083e-16,3.2992918366611597e-12,-0.6311,4,L***,T1-T2-T4-T5
T2-T4-T5-T1,4.691173054825589e-06,1.0518232592130922e-05,-0.3877,4,M***,T1-T2-T4-T5
T2-T5-T1-T4,3.809020603420984e-05,7.464569071622316e-05,-0.3085,4,M***,T1-T2-T4-T5
T2-T5-T4-T1,0.2641762352334509,0.318167979561104,-0.0879,4,S*,T1-T2-T4-T5
T4-T1-T2-T5,4.435612336786644e-11,1.8539220941155323e-08,-0.5219,4,L***,T1-T2-T4-T5
T4-T1-T5-T2,0.0005554862952245,0.0020528126512037,-0.2969,4,M***,T1-T2-T4-T5
T4-T2-T1-T5,1.710311233179143e-12,5.38375942126597e-10,-0.5584,4,L***,T1-T2-T4-T5
T4-T2-T5-T1,0.0886945495268607,0.2113595726983713,-0.1373,4,S*,T1-T2-T4-T5
T4-T5-T1-T2,0.9145137653703792,0.7819436711148275,0.0192,4,S*,T1-T2-T4-T5
T4-T5-T2-T1,0.918844179525411,0.9374047826856045,-0.0138,4,S*,T1-T2-T4-T5
T5-T1-T2-T4,0.0020216140858565,0.0006940279965348,-0.267,4,S***,T1-T2-T4-T5
T5-T1-T4-T2,0.2599732724486361,0.459758719065034,-0.0623,4,S*,T1-T2-T4-T5
T5-T2-T1-T4,0.0066948462437254,0.0041362161828888,-0.2,4,S***,T1-T2-T4-T5
T5-T2-T4-T1,0.0421686924423903,0.0533164989848529,-0.1705,4,S**,T1-T2-T4-T5
T5-T4-T1-T2,0.4169200534750852,0.3890715788956386,-0.0258,4,S*,T1-T2-T4-T5
T5-T4-T2-T1,0.40287618894722,0.5741580129501498,-0.0471,4,S*,T1-T2-T4-T5
