tasks,dare_ties_pass10,ties_pass10,weight-averaging_pass10
T1-T2-T4,40.25% (+1.14),39.12% (+0.01),38.5% (-0.61)
T1-T2-T5,34.9% (-4.21),34.99% (-4.12),35.05% (-4.06)
T1-T4-T2,39.32% (+0.21),39.57% (+0.46),39.21% (+0.1)
T1-T4-T5,35.16% (-3.95),33.71% (-5.4),35.12% (-3.99)
T1-T5-T2,39.26% (+0.15),39.49% (+0.38),39.74% (+0.63)
T1-T5-T4,36.34% (-2.77),34.11% (-5.0),37.06% (-2.05)
T2-T1-T4,39.15% (+0.04),39.12% (+0.01),38.5% (-0.61)
T2-T1-T5,34.71% (-4.4),34.99% (-4.12),35.05% (-4.06)
T2-T4-T1,39.78% (+0.67),39.98% (+0.87),40.75% (+1.64)
T2-T5-T1,40.32% (+1.21),41.06% (+1.95),39.89% (+0.78)
T4-T1-T2,39.81% (+0.7),39.57% (+0.46),39.21% (+0.1)
T4-T1-T5,33.7% (-5.41),33.71% (-5.4),35.12% (-3.99)
T4-T2-T1,41.51% (+2.4),39.98% (+0.87),40.75% (+1.64)
T4-T5-T1,37.88% (-1.23),37.16% (-1.95),37.19% (-1.92)
T5-T1-T2,38.82% (-0.29),39.49% (+0.38),39.74% (+0.63)
T5-T1-T4,35.19% (-3.92),34.11% (-5.0),37.06% (-2.05)
T5-T2-T1,39.88% (+0.77),41.06% (+1.95),39.89% (+0.78)
T5-T4-T1,38.03% (-1.08),37.16% (-1.95),37.19% (-1.92)
T1-T2-T4-T5,34.03% (-5.08),34.07% (-5.04),35.46% (-3.65)
T1-T2-T5-T4,35.09% (-4.02),35.79% (-3.32),36.31% (-2.8)
T1-T4-T2-T5,34.17% (-4.94),34.92% (-4.19),35.77% (-3.34)
T1-T4-T5-T2,35.96% (-3.15),37.97% (-1.14),38.15% (-0.96)
T1-T5-T2-T4,36.99% (-2.12),37.62% (-1.49),35.7% (-3.41)
T1-T5-T4-T2,38.48% (-0.63),37.87% (-1.24),37.68% (-1.43)
T2-T1-T4-T5,34.34% (-4.77),34.07% (-5.04),35.46% (-3.65)
T2-T1-T5-T4,35.99% (-3.12),35.79% (-3.32),36.31% (-2.8)
T2-T4-T1-T5,35.54% (-3.57),34.9% (-4.21),35.22% (-3.89)
T2-T4-T5-T1,37.78% (-1.33),38.94% (-0.17),37.26% (-1.85)
T2-T5-T1-T4,38.17% (-0.94),38.9% (-0.21),36.61% (-2.5)
T2-T5-T4-T1,39.83% (+0.72),40.27% (+1.16),38.46% (-0.65)
T4-T1-T2-T5,33.94% (-5.17),34.92% (-4.19),35.77% (-3.34)
T4-T1-T5-T2,38.76% (-0.35),37.97% (-1.14),38.15% (-0.96)
T4-T2-T1-T5,34.12% (-4.99),34.9% (-4.21),35.22% (-3.89)
T4-T2-T5-T1,40.1% (+0.99),38.94% (-0.17),37.26% (-1.85)
T4-T5-T1-T2,41.28% (+2.17),39.16% (+0.05),40.23% (+1.12)
T4-T5-T2-T1,40.73% (+1.62),42.12% (+3.01),41.87% (+2.76)
T5-T1-T2-T4,37.24% (-1.87),37.62% (-1.49),35.7% (-3.41)
T5-T1-T4-T2,39.48% (+0.37),37.87% (-1.24),37.68% (-1.43)
T5-T2-T1-T4,38.68% (-0.43),38.9% (-0.21),36.61% (-2.5)
T5-T2-T4-T1,40.1% (+0.99),40.27% (+1.16),38.46% (-0.65)
T5-T4-T1-T2,40.39% (+1.28),39.16% (+0.05),40.23% (+1.12)
T5-T4-T2-T1,41.05% (+1.94),42.12% (+3.01),41.87% (+2.76)
