tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation
T1-T2-T4,0.2123772684081384,0.3254298442624826,-0.0754,3,S*
T1-T2-T5,1.8000636680091345e-14,2.5519374341677256e-11,-0.5978,3,L***
T1-T4-T2,0.570861155095153,0.4250496167958784,0.0744,3,S*
T1-T4-T5,7.169769184438772e-14,2.097536630574677e-10,-0.575,3,L***
T1-T5-T2,0.5340301098443005,0.4250496167958784,0.0592,3,S*
T1-T5-T4,0.0001124645035464,0.0004648835849452,-0.2894,3,M***
T2-T1-T4,0.093752061350262,0.1356380787682976,-0.1084,3,S*
T2-T1-T5,1.090979744597344e-11,2.9465489920423203e-09,-0.5256,3,L***
T2-T4-T1,0.0010201566247755,0.0007072581236009,0.283,3,M***
T2-T5-T1,0.163086479123205,0.2132517564117422,0.1332,3,S*
T4-T1-T2,0.5567700161361901,0.6253783479405848,-0.0104,3,S*
T4-T1-T5,3.6426341372908507e-10,1.146055572396228e-07,-0.4722,3,L***
T4-T2-T1,0.0038426605320322,0.003832475442483,0.2518,3,S***
T4-T5-T1,0.0002896711380425,0.0008630584733532,-0.2698,3,S***
T5-T1-T2,0.7182514129349622,0.7078260175355122,-0.01,3,S*
T5-T1-T4,0.0012874781607979,0.0028089750559873,-0.2268,3,S***
T5-T2-T1,0.1199948564362215,0.1744197999899752,0.1566,3,S*
T5-T4-T1,0.0001448121347942,0.0010760569679083,-0.2984,3,M***
T1-T2-T4-T5,8.509464444262365e-09,3.806150763030389e-07,-0.4448,4,L***
T1-T2-T5-T4,8.381331685198319e-07,1.560407369318267e-06,-0.3724,4,M***
T1-T4-T2-T5,2.094831609311244e-09,8.628249618279228e-08,-0.4502,4,L***
T1-T4-T5-T2,0.0049013720296626,0.0041364654575027,-0.2152,4,S***
T1-T5-T2-T4,2.880149761815468e-08,3.476431931744435e-07,-0.4276,4,M***
T1-T5-T4-T2,0.1089134048487493,0.121803894280117,-0.1166,4,S*
T2-T1-T4-T5,3.06601417654269e-11,1.1928664494909585e-08,-0.5126,4,L***
T2-T1-T5-T4,5.11788883999244e-08,1.828885692356165e-07,-0.411,4,M***
T2-T4-T1-T5,3.606248202233364e-11,2.097536630574677e-10,-0.5074,4,L***
T2-T4-T5-T1,0.0017804009213432,0.0019262807735961,-0.2278,4,S***
T2-T5-T1-T4,1.1715156538622846e-05,0.0002218325854308,-0.3308,4,M***
T2-T5-T4-T1,0.1062086791035839,0.1606655891996008,-0.1186,4,S*
T4-T1-T2-T5,3.3679469111252617e-10,5.773541184622873e-08,-0.4892,4,L***
T4-T1-T5-T2,0.1040613679332358,0.0933661297988827,-0.1104,4,S*
T4-T2-T1-T5,1.3295262053746145e-08,1.490247569483896e-07,-0.4334,4,L***
T4-T2-T5-T1,0.000525702724668,0.0009880230101954,-0.263,4,S***
T4-T5-T1-T2,0.0171128189783786,0.0102160738406513,0.223,4,S**
T4-T5-T2-T1,6.27094867250242e-05,0.0001533408362447,0.3332,4,M***
T5-T1-T2-T4,1.7566371617856845e-11,5.311468043336473e-10,-0.504,4,L***
T5-T1-T4-T2,0.0167261619446973,0.0335962304821715,-0.1776,4,S**
T5-T2-T1-T4,9.164587619351172e-06,3.425207458377635e-05,-0.343,4,M***
T5-T2-T4-T1,0.0537311328945981,0.0689306794009137,-0.1258,4,S*
T5-T4-T1-T2,0.0582621616732223,0.0638455182605199,0.1666,4,S*
T5-T4-T2-T1,0.0001016586552734,0.0007072581236009,0.317,4,M***
