tasks,dare_ties_pass1,dare_ties_pass10,ties_pass1,ties_pass10,weight-averaging_pass1,weight-averaging_pass10,task_length
T2-T3,0.1832317073170731,0.2152929849731933,0.1795731707317072,0.2086243675904251,0.1823170731707317,0.217801567155943,2
T2-T4,0.1826219512195122,0.2227170482994314,0.1804878048780487,0.2198302150918627,0.1884146341463414,0.226275201993506,2
T2-T5,0.1484756097560975,0.1957786512362514,0.1490853658536585,0.1877522773609385,0.1496951219512195,0.1883099014177697,2
T3-T4,0.1929878048780487,0.2188351320581555,0.1884146341463414,0.2189814357657746,0.1908536585365853,0.2210155292491243,2
T3-T5,0.1676829268292683,0.2139783638169578,0.1655487804878048,0.2048669398637306,0.1740853658536585,0.2158404110048374,2
T4-T5,0.1634146341463414,0.2082420241542041,0.1582317073170731,0.1950177267420339,0.1643292682926829,0.2057501746535575,2
T2-T3-T4,0.1847560975609756,0.2240617354781441,0.1878048780487805,0.215934800493624,0.1899390243902439,0.2220301832502618,3
T2-T3-T5,0.1704268292682926,0.2052310654685494,0.1655487804878048,0.1978940978978735,0.1679878048780487,0.2008230763422185,3
T2-T4-T5,0.1673780487804878,0.2082914631242049,0.1624999999999999,0.2032866089962292,0.1749999999999999,0.214113083360044,3
T3-T4-T5,0.1722560975609756,0.2088788231703356,0.172560975609756,0.2076285584837272,0.1780487804878048,0.2142430834286909,3
T2-T3-T4-T5,0.1692073170731707,0.2049569399112553,0.1746951219512195,0.2055969732525271,0.1777439024390244,0.2162582330076478,4
