tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation
T2-T3,0.0002949953576621,0.0001665608171259,0.3147,2,M***
T2-T4,2.138123060963496e-08,9.485215854225065e-08,0.4452,2,L***
T2-T5,1.3303230708605018e-05,8.75787649340324e-06,-0.3388,2,M***
T3-T4,6.834013792356259e-11,6.818491108850967e-09,0.5202,2,L***
T3-T5,0.1221254098443969,0.1038481131599626,0.1519,2,S*
T4-T5,0.7673839167751415,0.7898757613307934,-0.0075,2,S*
T2-T3-T4,7.411831693694186e-10,5.71796719148712e-08,0.4851,3,L***
T2-T3-T5,0.0445487487457403,0.0320482570683738,0.1913,3,S**
T2-T4-T5,0.976663009566499,0.9069364746901144,-0.0069,3,S*
T3-T4-T5,1.470507712029369e-06,1.2906854493442723e-06,0.4073,3,M***
T2-T3-T4-T5,0.0002032539253335,0.0001316087542602,0.3047,4,M***
