tasks,dare_ties_pass1,ties_pass1,weight-averaging_pass1
T1-T2-T4,17.84% (+1.68),17.47% (+1.31),17.99% (+1.83)
T1-T2-T5,15.21% (-0.95),14.24% (-1.92),15.24% (-0.92)
T1-T4-T2,17.47% (+1.31),17.32% (+1.16),17.23% (+1.07)
T1-T4-T5,15.49% (-0.67),15.34% (-0.82),15.55% (-0.61)
T1-T5-T2,16.28% (+0.12),15.61% (-0.55),15.91% (-0.25)
T1-T5-T4,16.92% (+0.76),16.55% (+0.39),17.26% (+1.1)
T2-T1-T4,17.71% (+1.55),17.47% (+1.31),17.99% (+1.83)
T2-T1-T5,14.36% (-1.8),14.24% (-1.92),15.24% (-0.92)
T2-T4-T1,17.07% (+0.91),16.55% (+0.39),16.86% (+0.7)
T2-T5-T1,15.7% (-0.46),15.58% (-0.58),15.58% (-0.58)
T4-T1-T2,17.47% (+1.31),17.32% (+1.16),17.23% (+1.07)
T4-T1-T5,15.7% (-0.46),15.34% (-0.82),15.55% (-0.61)
T4-T2-T1,17.01% (+0.85),16.55% (+0.39),16.86% (+0.7)
T4-T5-T1,16.49% (+0.33),16.07% (-0.09),16.1% (-0.06)
T5-T1-T2,15.82% (-0.34),15.61% (-0.55),15.91% (-0.25)
T5-T1-T4,16.55% (+0.39),16.55% (+0.39),17.26% (+1.1)
T5-T2-T1,15.73% (-0.43),15.58% (-0.58),15.58% (-0.58)
T5-T4-T1,16.37% (+0.21),16.07% (-0.09),16.1% (-0.06)
T1-T2-T4-T5,15.85% (-0.31),15.4% (-0.76),16.28% (+0.12)
T1-T2-T5-T4,17.04% (+0.88),16.43% (+0.27),17.1% (+0.94)
T1-T4-T2-T5,14.66% (-1.5),14.82% (-1.34),15.82% (-0.34)
T1-T4-T5-T2,17.13% (+0.97),16.13% (-0.03),16.37% (+0.21)
T1-T5-T2-T4,17.65% (+1.49),16.95% (+0.79),17.87% (+1.71)
T1-T5-T4-T2,17.56% (+1.4),16.77% (+0.61),17.01% (+0.85)
T2-T1-T4-T5,15.85% (-0.31),15.4% (-0.76),16.28% (+0.12)
T2-T1-T5-T4,17.23% (+1.07),16.43% (+0.27),17.1% (+0.94)
T2-T4-T1-T5,14.7% (-1.46),14.7% (-1.46),15.43% (-0.73)
T2-T4-T5-T1,15.79% (-0.37),15.46% (-0.7),16.13% (-0.03)
T2-T5-T1-T4,17.44% (+1.28),17.26% (+1.1),17.16% (+1.0)
T2-T5-T4-T1,16.62% (+0.46),16.43% (+0.27),16.8% (+0.64)
T4-T1-T2-T5,14.94% (-1.22),14.82% (-1.34),15.82% (-0.34)
T4-T1-T5-T2,16.46% (+0.3),16.13% (-0.03),16.37% (+0.21)
T4-T2-T1-T5,15.37% (-0.79),14.7% (-1.46),15.43% (-0.73)
T4-T2-T5-T1,15.98% (-0.18),15.46% (-0.7),16.13% (-0.03)
T4-T5-T1-T2,16.89% (+0.73),16.34% (+0.18),16.86% (+0.7)
T4-T5-T2-T1,15.95% (-0.21),16.13% (-0.03),16.62% (+0.46)
T5-T1-T2-T4,17.87% (+1.71),16.95% (+0.79),17.87% (+1.71)
T5-T1-T4-T2,17.5% (+1.34),16.77% (+0.61),17.01% (+0.85)
T5-T2-T1-T4,17.68% (+1.52),17.26% (+1.1),17.16% (+1.0)
T5-T2-T4-T1,16.52% (+0.36),16.43% (+0.27),16.8% (+0.64)
T5-T4-T1-T2,16.74% (+0.58),16.34% (+0.18),16.86% (+0.7)
T5-T4-T2-T1,16.01% (-0.15),16.13% (-0.03),16.62% (+0.46)
