tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation,constituent_tasks
T1-T2-T4,2.249658337523603e-05,3.663128300905304e-05,0.366,3,M***,T1-T2-T4
T1-T4-T2,0.0035947321469389,0.0096516036104065,0.2246,3,S***,T1-T2-T4
T2-T1-T4,0.0496502841938982,0.0573708966300317,0.1652,3,S**,T1-T2-T4
T2-T4-T1,0.3261655659755232,0.2833782221643764,0.0825,3,S*,T1-T2-T4
T4-T1-T2,0.003691096420193,0.0064660474604012,0.2345,3,S***,T1-T2-T4
T4-T2-T1,0.7320548901662031,0.8004859957995474,0.0382,3,S*,T1-T2-T4
T1-T2-T5,2.4262367257631427e-06,4.006573315694707e-05,-0.4021,3,M***,T1-T2-T5
T1-T5-T2,0.0431295923125422,0.0327435398220446,-0.1752,3,S**,T1-T2-T5
T2-T1-T5,0.0001230586573382,0.0002509059063931,-0.2984,3,M***,T1-T2-T5
T2-T5-T1,0.4084609446604361,0.3360027729810509,-0.0473,3,S*,T1-T2-T5
T5-T1-T2,0.2230050017968874,0.236209890634774,-0.0936,3,S*,T1-T2-T5
T5-T2-T1,0.035176797392288,0.0225286148017289,-0.1857,3,S**,T1-T2-T5
T1-T4-T5,0.0661351907882568,0.0500137216276664,-0.1323,3,S*,T1-T4-T5
T1-T5-T4,0.0522912812357438,0.0548176665794459,0.1667,3,S*,T1-T4-T5
T4-T1-T5,0.0192305308532251,0.0300373582212431,-0.2052,3,S**,T1-T4-T5
T4-T5-T1,0.8583065897255255,0.7569793004114944,0.0078,3,S*,T1-T4-T5
T5-T1-T4,0.3057913236553459,0.568159035028071,0.0781,3,S*,T1-T4-T5
T5-T4-T1,0.5781002614684683,0.883819280539326,-0.0414,3,S*,T1-T4-T5
T1-T2-T4-T5,0.431323365520916,0.264530743841495,-0.0703,4,S*,T1-T2-T4-T5
T1-T2-T5-T4,0.1764985868533763,0.1744175714495007,0.1171,4,S*,T1-T2-T4-T5
T1-T4-T2-T5,8.354976521255058e-07,1.0944572432301377e-06,-0.3672,4,M***,T1-T2-T4-T5
T1-T4-T5-T2,0.7136583745487257,0.8770378805882852,-0.0266,4,S*,T1-T2-T4-T5
T1-T5-T2-T4,0.0648061030524946,0.0710537344238191,0.1542,4,S*,T1-T2-T4-T5
T1-T5-T4-T2,0.0083878670877444,0.0094099047868759,0.2325,4,S***,T1-T2-T4-T5
T2-T1-T4-T5,0.0007925559730369,0.0032122430795919,-0.2646,4,S***,T1-T2-T4-T5
T2-T1-T5-T4,0.3133480765736548,0.324985005373848,0.0749,4,S*,T1-T2-T4-T5
T2-T4-T1-T5,3.241714065791051e-06,2.027692947624506e-05,-0.3536,4,M***,T1-T2-T4-T5
T2-T4-T5-T1,0.1136700110363959,0.1360842664696866,-0.0979,4,S*,T1-T2-T4-T5
T2-T5-T1-T4,0.0022424788945501,0.0025228585990426,0.241,4,S***,T1-T2-T4-T5
T2-T5-T4-T1,0.2998427312855894,0.4473290644016696,0.0801,4,S*,T1-T2-T4-T5
T4-T1-T2-T5,2.3646174370105828e-05,4.036859489926203e-05,-0.3134,4,M***,T1-T2-T4-T5
T4-T1-T5-T2,0.9701193910366438,0.8702651988995335,0.0147,4,S*,T1-T2-T4-T5
T4-T2-T1-T5,4.551374343497823e-05,4.612420293084944e-05,-0.3042,4,M***,T1-T2-T4-T5
T4-T2-T5-T1,0.011684451825848,0.0242064290515653,-0.1868,4,S**,T1-T2-T4-T5
T4-T5-T1-T2,0.7875029451966667,0.5763435672482767,-0.0205,4,S*,T1-T2-T4-T5
T4-T5-T2-T1,0.773604128772173,0.6339242019609244,-0.0392,4,S*,T1-T2-T4-T5
T5-T1-T2-T4,0.1616510748293537,0.2472717723507594,0.1205,4,S*,T1-T2-T4-T5
T5-T1-T4-T2,0.0180022458010535,0.0363994697875507,0.1893,4,S**,T1-T2-T4-T5
T5-T2-T1-T4,0.0042277039067078,0.0052671702327624,0.2187,4,S***,T1-T2-T4-T5
T5-T2-T4-T1,0.35391276017015,0.2761632777851498,0.0759,4,S*,T1-T2-T4-T5
T5-T4-T1-T2,0.3319772940668349,0.2069942697474029,0.0852,4,S*,T1-T2-T4-T5
T5-T4-T2-T1,0.7556766041939289,0.9028508647596476,0.0344,4,S*,T1-T2-T4-T5
