tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation,constituent_tasks
T1-T2-T4,2.9218831223246198e-06,7.2228356931968e-06,0.3906,3,M***,T1-T2-T4
T1-T4-T2,3.4173165399767237e-06,4.2151436449560055e-06,0.366,3,M***,T1-T2-T4
T2-T1-T4,1.809242278581949e-07,5.961886908328214e-07,0.4085,3,M***,T1-T2-T4
T2-T4-T1,9.283406380126592e-05,0.0006395631729325,0.301,3,M***,T1-T2-T4
T4-T1-T2,4.055967644531969e-06,6.945593503831391e-05,0.3572,3,M***,T1-T2-T4
T4-T2-T1,0.0007781766134053,0.0014189642160793,0.263,3,S***,T1-T2-T4
T1-T2-T5,0.9049691944965907,0.6698511676891292,0.001,3,S*,T1-T2-T5
T1-T5-T2,0.0929727849912267,0.0699866302937221,0.1276,3,S*,T1-T2-T5
T2-T1-T5,0.974205586149094,0.8527039152769147,0.0038,3,S*,T1-T2-T5
T2-T5-T1,0.1555682730721406,0.1467873553022434,0.1194,3,S*,T1-T2-T5
T5-T1-T2,0.0346402616599495,0.0766043976360189,0.1764,3,S**,T1-T2-T5
T5-T2-T1,0.0240103099520073,0.0327446991370853,0.1828,3,S**,T1-T2-T5
T1-T4-T5,0.1969861412048604,0.2565231689671972,0.1043,3,S*,T1-T4-T5
T1-T5-T4,0.0002436931800527,0.0001144119843118,0.2853,3,M***,T1-T4-T5
T4-T1-T5,0.8228736892266312,0.7806252551793645,-0.0042,3,S*,T1-T4-T5
T4-T5-T1,0.1385117705957375,0.0960826121422698,0.1332,3,S*,T1-T4-T5
T5-T1-T4,2.877677715342917e-05,0.0002188512744017,0.3284,3,M***,T1-T4-T5
T5-T4-T1,0.4815759749753506,0.3938231608273898,-0.059,3,S*,T1-T4-T5
T1-T2-T4-T5,0.0162126718454729,0.0026251122102243,0.2072,4,S**,T1-T2-T4-T5
T1-T2-T5-T4,0.0010974835014449,0.0018602351666628,0.2456,4,S***,T1-T2-T4-T5
T1-T4-T2-T5,0.0139711000469073,0.0072457855911389,0.2014,4,S**,T1-T2-T4-T5
T1-T4-T5-T2,0.0700163702954803,0.0743439818944438,0.1212,4,S*,T1-T2-T4-T5
T1-T5-T2-T4,1.6473247616741168e-10,8.30615910994768e-08,0.5052,4,L***,T1-T2-T4-T5
T1-T5-T4-T2,0.0117889163506958,0.0188554829829919,0.1804,4,S**,T1-T2-T4-T5
T2-T1-T4-T5,0.0188041712822136,0.0457528030084197,0.2044,4,S**,T1-T2-T4-T5
T2-T1-T5-T4,0.0004267798118188,0.0008630584733532,0.2716,4,S***,T1-T2-T4-T5
T2-T4-T1-T5,0.1445639674342232,0.2382606585642238,0.1088,4,S*,T1-T2-T4-T5
T2-T4-T5-T1,0.0435403860955869,0.0595376552019177,0.1474,4,S**,T1-T2-T4-T5
T2-T5-T1-T4,0.0052556793161786,0.0059475361264218,0.224,4,S***,T1-T2-T4-T5
T2-T5-T4-T1,0.0003026094208899,0.0002787262630933,0.2734,4,S***,T1-T2-T4-T5
T4-T1-T2-T5,0.1068736272495709,0.0849607498952159,0.1232,4,S*,T1-T2-T4-T5
T4-T1-T5-T2,0.1662918899854889,0.2157913619929484,0.1086,4,S*,T1-T2-T4-T5
T4-T2-T1-T5,0.7560039474202396,0.6623526798628128,0.0228,4,S*,T1-T2-T4-T5
T4-T2-T5-T1,0.0027371897416591,0.0096238713573493,0.2326,4,S***,T1-T2-T4-T5
T4-T5-T1-T2,7.942326610504346e-06,4.613016953198e-05,0.3584,4,M***,T1-T2-T4-T5
T4-T5-T2-T1,0.6056642246129538,0.8231532975996094,0.038,4,S*,T1-T2-T4-T5
T5-T1-T2-T4,2.1608824715610654e-05,6.945593503831391e-05,0.3157,4,M***,T1-T2-T4-T5
T5-T1-T4-T2,0.0001388265497576,0.0004137419974298,0.3124,4,M***,T1-T2-T4-T5
T5-T2-T1-T4,0.0052762299661112,0.0026251122102243,0.2182,4,S***,T1-T2-T4-T5
T5-T2-T4-T1,1.3959716423390774e-05,3.2743335064694673e-05,0.3376,4,M***,T1-T2-T4-T5
T5-T4-T1-T2,5.329640947280923e-07,5.66319485758843e-06,0.3833,4,M***,T1-T2-T4-T5
T5-T4-T2-T1,0.1282880001745823,0.1448819663901339,0.1078,4,S*,T1-T2-T4-T5
