tasks,starcoder2-3b-dare-ties,starcoder2-3b-ties,starcoder2-3b-weight-averaging,granite-3b-code-base-dare-ties,granite-3b-code-base-ties,granite-3b-code-base-weight-averaging
T2-T3,39.48% (+0.37) S*,41.79% (+2.68) M***,40.79% (+1.68) M***,21.53% (+1.69) S***,20.86% (+1.02) S**,21.78% (+1.94) M***
T2-T4,37.09% (-2.02) L***,37.89% (-1.22) S**,35.94% (-3.17) M***,22.27% (+2.43) M***,21.98% (+2.14) M***,22.63% (+2.79) L***
T2-T5,35.62% (-3.49) L***,36.49% (-2.62) M***,35.17% (-3.94) L***,19.58% (-0.26) S*,18.78% (-1.06) M***,18.83% (-1.01) S*
T3-T4,37.5% (-1.61) M***,39.21% (+0.1) S**,40.47% (+1.36) S***,21.88% (+2.04) S***,21.9% (+2.06) M***,22.1% (+2.26) L***
T3-T5,35.46% (-3.65) L***,37.0% (-2.11) S***,35.78% (-3.33) M***,21.4% (+1.56) S***,20.49% (+0.65) S*,21.58% (+1.74) M***
T4-T5,32.54% (-6.57) L***,34.33% (-4.78) L***,33.25% (-5.86) L***,20.82% (+0.98) S*,19.5% (-0.34) S*,20.58% (+0.74) S***
T2-T3-T4,39.45% (+0.34) S*,41.02% (+1.91) M***,40.71% (+1.6) M***,22.41% (+2.57) L***,21.59% (+1.75) M***,22.2% (+2.36) L***
T2-T3-T5,39.6% (+0.49) S*,39.17% (+0.06) S*,39.28% (+0.17) S**,20.52% (+0.68) S*,19.79% (-0.05) S*,20.08% (+0.24) S*
T2-T4-T5,33.4% (-5.71) L***,35.64% (-3.47) M***,35.96% (-3.15) M***,20.83% (+0.99) S*,20.33% (+0.49) S*,21.41% (+1.57) M***
T3-T4-T5,37.29% (-1.82) M***,37.58% (-1.53) S**,36.01% (-3.1) M***,20.89% (+1.05) S**,20.76% (+0.92) S**,21.42% (+1.58) M***
T2-T3-T4-T5,38.27% (-0.84) M***,38.2% (-0.91) S*,36.93% (-2.18) S*,20.5% (+0.66) S*,20.56% (+0.72) S*,21.63% (+1.79) M***
