tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation
T1-T2,0.0390913461364358,0.0397702405138384,-0.1824,2,S**
T1-T3,0.0257301377048413,0.0695297894136128,0.1857,2,S**
T1-T4,0.000353102666099,0.001266507097909,-0.2826,2,M***
T1-T5,2.5730446600446158e-17,1.102443586497324e-11,-0.637,2,L***
T1-T2-T3,5.378012147110117e-06,7.310469346423702e-07,0.3504,3,M***
T1-T2-T4,0.079014843028088,0.0526831623980221,-0.1331,3,S*
T1-T2-T5,0.0001967277904993,0.0006079836464476,-0.2712,3,S***
T1-T3-T4,0.6008700677030351,0.4220590165100035,0.0606,3,S*
T1-T3-T5,0.0013100212644841,0.0019487399327614,-0.268,3,S***
T1-T4-T5,1.907888233349746e-15,4.209471215326512e-12,-0.6121,3,L***
T1-T2-T3-T4,0.0001502747433883,0.0004273689742682,0.3024,4,M***
T1-T2-T3-T5,0.7076914636206239,0.7014426366065668,0.0001,4,S*
T1-T2-T4-T5,0.0003353288205901,0.0024661049225595,-0.2787,4,S***
T1-T3-T4-T5,0.5067698237216682,0.5058459754267313,-0.055,4,S*
T1-T2-T3-T4-T5,0.0004424765354783,0.0004218503795412,-0.2848,5,M***
