tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation
T2-T3,0.0800934912588536,0.1392794312992497,-0.1196,2,S*
T2-T4,7.574759829932298e-10,1.828885692356165e-07,-0.4886,2,L***
T2-T5,1.600973984467487e-17,2.884536279160242e-12,-0.6536,2,L***
T3-T4,1.3848089587870934e-05,0.0001262135465298,-0.335,2,M***
T3-T5,7.4810556629179415e-19,7.949064304247351e-13,-0.6796,2,L***
T4-T5,1.473947502674763e-32,2.0802135592284146e-17,-0.8472,2,L***
T2-T3-T4,0.5857045101238074,0.8635033772834252,-0.0204,3,S*
T2-T3-T5,0.9085140682803386,0.8231532975996094,-0.0624,3,S*
T2-T4-T5,7.543595071173336e-33,5.175535327228704e-17,-0.8458,3,L***
T3-T4-T5,5.608241749254836e-08,3.2326779258988665e-07,-0.4284,3,M***
T2-T3-T4-T5,0.0002815668656529,0.0002642252066087,-0.298,4,M***
