tasks,dare_ties_pass1,ties_pass1,weight-averaging_pass1
T2-T3,30.3% (+1.64),31.95% (+3.29),30.67% (+2.01)
T2-T4,27.26% (-1.4),27.2% (-1.46),26.62% (-2.04)
T2-T5,25.85% (-2.81),26.28% (-2.38),25.82% (-2.84)
T3-T4,27.26% (-1.4),27.9% (-0.76),28.99% (+0.33)
T3-T5,26.01% (-2.65),26.83% (-1.83),26.37% (-2.29)
T4-T5,24.42% (-4.24),24.79% (-3.87),24.91% (-3.75)
T2-T3-T4,29.27% (+0.61),29.12% (+0.46),29.09% (+0.43)
T2-T3-T5,29.02% (+0.36),28.48% (-0.18),27.77% (-0.89)
T2-T4-T5,25.09% (-3.57),25.88% (-2.78),26.16% (-2.5)
T3-T4-T5,27.8% (-0.86),27.1% (-1.56),26.37% (-2.29)
T2-T3-T4-T5,27.5% (-1.16),27.84% (-0.82),27.29% (-1.37)
