tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation
T2-T3,6.939141859272526e-09,1.1143815726557725e-07,0.4561,2,L***
T2-T4,0.001694298912024,0.0042501153159762,-0.2744,2,S***
T2-T5,1.1149363710955153e-07,2.8031776780641117e-06,-0.4094,2,M***
T3-T4,0.0078553596220349,0.0133650400550792,0.2195,2,S***
T3-T5,4.519809523374777e-06,2.2576363469808635e-05,-0.3603,2,M***
T4-T5,2.8251275998521555e-12,1.1710305901372435e-09,-0.5282,2,L***
T2-T3-T4,0.0161342795940164,0.0490071533246543,0.1826,3,S**
T2-T3-T5,0.7275914364499259,0.7595946166453151,0.0312,3,S*
T2-T4-T5,0.0001848787706698,0.0037083703223704,-0.296,3,M***
T3-T4-T5,8.525838699541673e-05,5.583986681724785e-05,-0.3324,3,M***
T2-T3-T4-T5,0.0023525664051095,0.0007435014046903,-0.2324,4,S***
