tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation,constituent_tasks
T1-T2-T4,0.967696971417678,0.8258300417006286,-0.0142,3,S*,T1-T2-T4
T1-T4-T2,0.0048055060272406,0.0094333838533587,0.2172,3,S***,T1-T2-T4
T2-T1-T4,0.7899611658043044,0.7361501939167332,0.0492,3,S*,T1-T2-T4
T2-T4-T1,6.387416128290284e-07,6.243861618384152e-06,0.4174,3,M***,T1-T2-T4
T4-T1-T2,0.2488944542766703,0.2355346122917967,0.0762,3,S*,T1-T2-T4
T4-T2-T1,1.0601084047915966e-06,1.1296512348770368e-05,0.3938,3,M***,T1-T2-T4
T1-T2-T5,2.5642493275457008e-08,4.2367073466924184e-08,-0.4402,3,L***,T1-T2-T5
T1-T5-T2,0.0006988491839465,0.0006811279931415,0.2734,3,S***,T1-T2-T5
T2-T1-T5,3.8725239525076714e-10,9.487277678157032e-08,-0.4938,3,L***,T1-T2-T5
T2-T5-T1,0.0014994458921221,0.0026549711362976,0.2502,3,S***,T1-T2-T5
T5-T1-T2,0.0057718378245427,0.0096238713573493,0.2252,3,S***,T1-T2-T5
T5-T2-T1,0.0015350707664412,0.0014189642160793,0.2604,3,S***,T1-T2-T5
T1-T4-T5,8.767948276062953e-09,1.666630638361549e-07,-0.456,3,L***,T1-T4-T5
T1-T5-T4,0.0032968846962171,0.0087046301347275,-0.2284,3,S***,T1-T4-T5
T4-T1-T5,2.9897669099281697e-06,2.73371882554736e-06,-0.3684,3,M***,T1-T4-T5
T4-T5-T1,0.1053655528449445,0.1648074405410495,-0.145,3,S*,T1-T4-T5
T5-T1-T4,0.0113020017293062,0.0046585649125246,-0.2096,3,S**,T1-T4-T5
T5-T4-T1,0.0458454603181383,0.0563562911131693,-0.1498,3,S**,T1-T4-T5
T1-T2-T4-T5,1.1302318706332144e-08,3.292021924265814e-07,-0.4516,4,L***,T1-T2-T4-T5
T1-T2-T5-T4,0.0008491611498789,0.0005492396394109,-0.271,4,S***,T1-T2-T4-T5
T1-T4-T2-T5,1.4474752058583248e-08,7.1782305462604485e-09,-0.4568,4,L***,T1-T2-T4-T5
T1-T4-T5-T2,0.5405543256465688,0.3938231608273898,0.0406,4,S*,T1-T2-T4-T5
T1-T5-T2-T4,0.0002023518078568,0.0001096797369576,-0.303,4,M***,T1-T2-T4-T5
T1-T5-T4-T2,0.1651397511184732,0.2235406850972183,-0.1016,4,S*,T1-T2-T4-T5
T2-T1-T4-T5,6.5642635496118005e-09,8.149510834101046e-08,-0.4676,4,L***,T1-T2-T4-T5
T2-T1-T5-T4,0.0005726930450262,0.0006558976151462,-0.2772,4,S***,T1-T2-T4-T5
T2-T4-T1-T5,6.511655031918421e-09,1.854011372750837e-08,-0.4658,4,L***,T1-T2-T4-T5
T2-T4-T5-T1,0.0385148008739984,0.0381434497440052,-0.186,4,S**,T1-T2-T4-T5
T2-T5-T1-T4,0.0008299665235354,0.0009880230101954,-0.2692,4,S***,T1-T2-T4-T5
T2-T5-T4-T1,0.306677475419916,0.4473324208168965,0.0776,4,S*,T1-T2-T4-T5
T4-T1-T2-T5,3.031704529631664e-07,1.4566472957384038e-06,-0.4044,4,M***,T1-T2-T4-T5
T4-T1-T5-T2,0.9469956890366308,0.8338723094405576,0.0164,4,S*,T1-T2-T4-T5
T4-T2-T1-T5,1.2904855822139106e-10,8.149510834101046e-08,-0.5202,4,L***,T1-T2-T4-T5
T4-T2-T5-T1,0.3472588466176844,0.3426319759495927,-0.0942,4,S*,T1-T2-T4-T5
T4-T5-T1-T2,1.963909168982803e-05,0.0001576371813406,0.3324,4,M***,T1-T2-T4-T5
T4-T5-T2-T1,8.305147280764754e-13,2.4389560324235403e-09,0.5554,4,L***,T1-T2-T4-T5
T5-T1-T2-T4,1.3512480990910377e-08,8.628249618279228e-08,-0.4554,4,L***,T1-T2-T4-T5
T5-T1-T4-T2,0.4450010392370134,0.4473324208168965,-0.0732,4,S*,T1-T2-T4-T5
T5-T2-T1-T4,7.004263496857889e-05,6.0954018307393815e-05,-0.3202,4,M***,T1-T2-T4-T5
T5-T2-T4-T1,0.9339040362644008,0.9151157833041156,0.0032,4,S*,T1-T2-T4-T5
T5-T4-T1-T2,0.0001436110754836,0.000363103809263,0.2944,4,M***,T1-T2-T4-T5
T5-T4-T2-T1,6.692681508009206e-10,6.732405930551086e-08,0.4802,4,L***,T1-T2-T4-T5
