tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation
T1-T2,0.1449126004544444,0.132070695376344,-0.099,2,S*
T1-T3,0.0001161979964148,0.0003978971828893,0.3308,2,M***
T1-T4,7.256669866385966e-05,0.0003826207334198,0.3292,2,M***
T1-T5,0.7109941141403445,0.9123884418157544,0.0088,2,S*
T1-T2-T3,0.1042279207306049,0.0777552247141572,0.1586,3,S*
T1-T2-T4,0.1298984076782638,0.0913694854432102,0.1434,3,S*
T1-T2-T5,0.8600887217489336,0.9069368853915614,0.0122,3,S*
T1-T3-T4,1.741251616368574e-06,7.459504884752049e-06,0.4049,3,M***
T1-T3-T5,0.3344078653819198,0.3479039590114893,0.1008,3,S*
T1-T4-T5,0.7929495931416909,0.5519569797477354,0.0565,3,S*
T1-T2-T3-T4,0.0819662825166953,0.0678878537798854,0.1589,4,S*
T1-T2-T3-T5,0.1810677289264649,0.2682331445641017,-0.0964,4,S*
T1-T2-T4-T5,0.0017655253415764,0.0021872952496648,0.265,4,S***
T1-T3-T4-T5,0.0037834845321902,0.0035489217084417,0.2558,4,S***
T1-T2-T3-T4-T5,0.1987884293922622,0.2314870509659754,0.1284,5,S*
