tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation
T2-T3,1.328718045592755e-07,5.650800261402181e-07,0.4083,2,M***
T2-T4,1.9698024836788083e-09,3.223427286798746e-08,0.4731,2,L***
T2-T5,4.550921779125411e-05,0.0005152157140485,-0.306,2,M***
T3-T4,4.0626382152019645e-21,4.628609365169695e-14,0.7139,2,L***
T3-T5,0.0305957781893418,0.0335946580263813,0.1521,2,S**
T4-T5,0.1131993130464273,0.0638435565124493,0.1463,2,S*
T2-T3-T4,9.712451199587536e-11,1.1224284982048444e-08,0.5041,3,L***
T2-T3-T5,0.0189310936089085,0.0083591362187785,0.1883,3,S**
T2-T4-T5,0.2321536305508,0.2623309126860332,0.0895,3,S*
T3-T4-T5,0.0009777452069467,0.0011363660174069,0.2728,3,S***
T2-T3-T4-T5,0.0327585406618612,0.0277610847729649,0.1504,4,S**
