tasks,starcoder2-3b-dare-ties,starcoder2-3b-ties,starcoder2-3b-weight-averaging,granite-3b-code-base-dare-ties,granite-3b-code-base-ties,granite-3b-code-base-weight-averaging
T1-T2,28.41% (-0.25) S**,29.63% (+0.97) S**,28.93% (+0.27) S*,16.43% (+0.27) S*,16.28% (+0.12) S*,16.25% (+0.09) S*
T1-T3,30.18% (+1.52) S**,31.01% (+2.35) M***,30.15% (+1.49) M***,17.41% (+1.25) M***,17.07% (+0.91) M***,17.2% (+1.04) S*
T1-T4,27.35% (-1.31) M***,26.89% (-1.77) S***,27.13% (-1.53) M***,17.35% (+1.19) S**,16.86% (+0.7) S***,17.35% (+1.19) S***
T1-T5,25.24% (-3.42) L***,25.88% (-2.78) L***,25.82% (-2.84) L***,15.0% (-1.16) S***,14.73% (-1.43) S*,14.73% (-1.43) L***
T1-T2-T3,30.82% (+2.16) M***,31.04% (+2.38) M***,30.95% (+2.29) L***,17.29% (+1.13) S***,17.29% (+1.13) M***,17.96% (+1.8) S***
T1-T2-T4,28.2% (-0.46) S*,28.26% (-0.4) S*,28.99% (+0.33) S**,17.32% (+1.16) S*,16.98% (+0.82) S***,17.32% (+1.16) S***
T1-T2-T5,27.38% (-1.28) S***,27.26% (-1.4) S**,26.49% (-2.17) M***,15.37% (-0.79) S*,15.15% (-1.01) S*,15.34% (-0.82) S***
T1-T3-T4,29.27% (+0.61) S*,29.02% (+0.36) S*,28.51% (-0.15) S*,17.93% (+1.77) S***,17.8% (+1.64) M***,17.68% (+1.52) M***
T1-T3-T5,28.05% (-0.61) S***,28.93% (+0.27) S*,27.99% (-0.67) S*,16.65% (+0.49) S*,16.22% (+0.06) S*,16.89% (+0.73) S***
T1-T4-T5,26.16% (-2.5) L***,26.28% (-2.38) M***,25.82% (-2.84) M***,15.88% (-0.28) S*,16.01% (-0.15) S*,16.22% (+0.06) S*
T1-T2-T3-T4,30.21% (+1.55) M***,30.06% (+1.4) S*,30.3% (+1.64) M***,17.47% (+1.31) S**,17.71% (+1.55) M***,18.14% (+1.98) M***
T1-T2-T3-T5,29.15% (+0.49) S*,29.39% (+0.73) S*,28.05% (-0.61) S*,15.91% (-0.25) S*,16.28% (+0.12) S*,17.07% (+0.91) S**
T1-T2-T4-T5,27.29% (-1.37) S***,27.53% (-1.13) S*,26.68% (-1.98) M***,16.49% (+0.33) S*,16.46% (+0.3) S**,17.1% (+0.94) S*
T1-T3-T4-T5,28.69% (+0.03) S*,27.56% (-1.1) S***,27.9% (-0.76) S*,16.65% (+0.49) S*,16.74% (+0.58) S*,17.47% (+1.31) S***
T1-T2-T3-T4-T5,27.8% (-0.86) M***,28.38% (-0.28) S*,27.32% (-1.34) S*,17.29% (+1.13) S**,16.65% (+0.49) S**,17.13% (+0.97) S***
