tasks,dare_ties_pass1,dare_ties_pass10,ties_pass1,ties_pass10,weight-averaging_pass1,weight-averaging_pass10,task_length
T1-T2,0.2841463414634146,0.4053529863250093,0.2963414634146341,0.3988386924560752,0.2893292682926829,0.4146340803348279,2
T1-T3,0.3018292682926829,0.4171575800172039,0.3100609756097561,0.4223762626409307,0.3015243902439024,0.423732170947681,2
T1-T4,0.2734756097560975,0.389391756774525,0.2689024390243902,0.3778261071028948,0.2713414634146341,0.3861405009322777,2
T1-T5,0.2524390243902439,0.3517917369197291,0.2588414634146341,0.34426599037148,0.2582317073170732,0.3476001505479342,2
T1-T2-T3,0.3082317073170732,0.415252001453202,0.3103658536585366,0.429389368654452,0.3094512195121951,0.4312252772146678,3
T1-T2-T4,0.2820121951219512,0.3964219915099625,0.2826219512195121,0.4022011694791654,0.2899390243902439,0.4157479093058266,3
T1-T2-T5,0.273780487804878,0.3790612562699703,0.2725609756097561,0.3980548966626517,0.2649390243902439,0.3780443250399076,3
T1-T3-T4,0.2926829268292683,0.4049101808106565,0.2902439024390243,0.3938756205283805,0.2850609756097561,0.3947269741132537,3
T1-T3-T5,0.2804878048780488,0.3823783537311438,0.2893292682926829,0.393442848022626,0.2798780487804878,0.3725218798795405,3
T1-T4-T5,0.2615853658536585,0.3723054111183689,0.2628048780487805,0.3829442946240499,0.2582317073170731,0.3617850425267551,3
T1-T2-T3-T4,0.3021341463414634,0.3976479327513836,0.300609756097561,0.41141800602931,0.3030487804878048,0.417380517428656,4
T1-T2-T3-T5,0.2914634146341464,0.406113613789367,0.2939024390243903,0.4035128533401205,0.2804878048780488,0.4076819974558402,4
T1-T2-T4-T5,0.2728658536585366,0.3830208293179297,0.2753048780487805,0.39085591596352,0.2667682926829268,0.3882079937731981,4
T1-T3-T4-T5,0.286890243902439,0.3746380526141532,0.2756097560975609,0.382327825651657,0.2789634146341463,0.3833037007544294,4
T1-T2-T3-T4-T5,0.2780487804878048,0.390120371020658,0.2838414634146341,0.3984346988434053,0.273170731707317,0.3730605930352966,5
