tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation
T2-T3,4.992436905940756e-12,7.44458623719457e-10,0.528,2,L***
T2-T4,0.0054578617719802,0.0079855684691089,-0.2499,2,S***
T2-T5,7.517891854057277e-09,6.233886240043115e-08,-0.4595,2,L***
T3-T4,0.0960190732816403,0.0751845200596282,-0.1654,2,S*
T3-T5,3.788597512302491e-05,0.0001089028239666,-0.3397,2,M***
T4-T5,2.528550915118305e-15,1.7931472195192184e-11,-0.6048,2,L***
T2-T3-T4,0.3691219928232787,0.2919513879284743,0.0381,3,S*
T2-T3-T5,0.4991823525090877,0.4005294610682187,-0.0866,3,S*
T2-T4-T5,1.4242376250466468e-11,3.7838240726886455e-09,-0.5311,3,L***
T3-T4-T5,4.031605313870915e-05,2.9242454205257544e-05,-0.3437,3,M***
T2-T3-T4-T5,0.4635244831877141,0.4350910123434132,-0.091,4,S*
