tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation
T2-T3,1.5618787859335616e-06,7.459504884752049e-06,0.4002,2,M***
T2-T4,4.973602916316015e-06,1.6714971876844532e-05,-0.3882,2,M***
T2-T5,7.349667586400937e-09,2.555782548985354e-06,-0.4602,2,L***
T3-T4,0.001429062279788,0.0018602351666628,0.2744,2,S***
T3-T5,2.0396087490318642e-07,1.183662373774407e-06,-0.4074,2,M***
T4-T5,8.32782189001735e-20,1.772905864436635e-13,-0.6912,2,L***
T2-T3-T4,2.1547365033374505e-05,6.650450524344509e-05,0.3604,3,M***
T2-T3-T5,0.046831354923748,0.0287589825420692,0.2088,3,S**
T2-T4-T5,6.607260405350969e-07,9.042931792052953e-06,-0.4168,3,M***
T3-T4-T5,1.512862755473247e-06,2.599194675630313e-06,-0.3796,3,M***
T2-T3-T4-T5,0.0803651501906078,0.0638455182605199,-0.1526,4,S*
