tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation
T1-T2-T4,0.0003990339874534,0.0004137419974298,0.2946,3,M***
T1-T2-T5,1.622384850116932e-11,1.2096579164999306e-09,-0.5264,3,L***
T1-T4-T2,0.0131641757667488,0.0090624687231943,0.197,3,S**
T1-T4-T5,7.439429937313849e-12,3.1313005114081157e-10,-0.5314,3,L***
T1-T5-T2,0.0945993836141758,0.081895482588252,0.1482,3,S*
T1-T5-T4,0.0020800677912069,0.0066709649543809,-0.2608,3,S***
T2-T1-T4,0.0608662473424136,0.1392794312992497,0.1162,3,S*
T2-T1-T5,5.157636858418643e-09,5.968225746376303e-09,-0.4568,3,L***
T2-T4-T1,0.0003941273684769,0.0006558976151462,0.2718,3,S***
T2-T5-T1,0.0048319866714393,0.0034714875822547,0.2082,3,S***
T4-T1-T2,0.0567969411494023,0.04284956892471,0.1564,3,S*
T4-T1-T5,4.7814744235623164e-14,1.1419186889976034e-10,-0.5778,3,L***
T4-T2-T1,2.2236926734431298e-11,1.1101394142242552e-09,0.522,3,L***
T4-T5-T1,0.9419334656306704,0.7465418609724369,0.036,3,S*
T5-T1-T2,0.2714792471132439,0.3408860574680771,0.0956,3,S*
T5-T1-T4,1.0389111498348617e-07,1.3571797346865746e-07,-0.4134,3,M***
T5-T2-T1,0.0081999099236381,0.0171834341647364,0.1874,3,S***
T5-T4-T1,0.5753083481106751,0.3237410722388395,-0.0568,3,S*
T1-T2-T4-T5,8.082600852341876e-16,1.0389070469371612e-11,-0.61,4,L***
T1-T2-T5-T4,4.0721258881135076e-10,4.856122648755628e-09,-0.4952,4,L***
T1-T4-T2-T5,2.0735312561776247e-14,1.9612615472964324e-10,-0.5916,4,L***
T1-T4-T5-T2,1.849770583471276e-08,8.796831074091287e-07,-0.4358,4,L***
T1-T5-T2-T4,0.0100699857623273,0.010628687688281,-0.2032,4,S**
T1-T5-T4-T2,0.8921363309843974,0.8071370593535689,0.0294,4,S*
T2-T1-T4-T5,2.6369453603854927e-15,1.5201984260884716e-12,-0.6184,4,L***
T2-T1-T5-T4,1.0176344541096962e-05,1.322446732811626e-05,-0.3644,4,M***
T2-T4-T1-T5,1.0141686464566502e-07,2.8452552566935946e-07,-0.4348,4,L***
T2-T4-T5-T1,0.9707513380081106,0.8204786096104631,0.0132,4,S*
T2-T5-T1-T4,0.6987179228644189,0.7413401306177619,-0.0302,4,S*
T2-T5-T4-T1,0.0010937550329637,0.0023429656766318,0.26,4,S***
T4-T1-T2-T5,4.6780836358256845e-17,1.3823325189872664e-11,-0.643,4,L***
T4-T1-T5-T2,0.8360425638400216,0.5519569797477354,0.051,4,S*
T4-T2-T1-T5,7.707789263333689e-17,1.8529162237314765e-12,-0.6562,4,L***
T4-T2-T5-T1,0.005375229388599,0.0087928856569017,0.2316,4,S***
T4-T5-T1-T2,1.8844378585078943e-06,3.512862758501503e-06,0.387,4,M***
T4-T5-T2-T1,2.704790034735281e-05,6.650450524344509e-05,0.3244,4,M***
T5-T1-T2-T4,0.0607882191119586,0.1392794312992497,-0.1358,4,S*
T5-T1-T4-T2,0.0595191540659418,0.0290110549906316,0.1514,4,S*
T5-T2-T1-T4,0.186770075214557,0.2451729983495421,0.0926,4,S*
T5-T2-T4-T1,0.0001524820368315,0.0003400161651892,0.3068,4,M***
T5-T4-T1-T2,0.0019146187053598,0.0030383014943112,0.2366,4,S***
T5-T4-T2-T1,1.9768755668852805e-06,1.5706760228924285e-05,0.3802,4,M***
