tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation,constituent_tasks
T1-T2-T4,0.0164208322850132,0.0297775057419937,-0.1705,3,S**,T1-T2-T4
T1-T4-T2,0.3745271335634283,0.3890673738748685,0.0807,3,S*,T1-T2-T4
T2-T1-T4,0.0971585004997033,0.1351861080534259,-0.1209,3,S*,T1-T2-T4
T2-T4-T1,0.6816362141038126,0.5459610936740704,0.029,3,S*,T1-T2-T4
T4-T1-T2,0.8758017718824522,0.7978305608909455,0.0349,3,S*,T1-T2-T4
T4-T2-T1,0.0172875839348794,0.0041586885725784,0.236,3,S**,T1-T2-T4
T1-T2-T5,1.3408831003105568e-06,2.6208089351894286e-06,-0.3795,3,M***,T1-T2-T5
T1-T5-T2,0.6968674151407626,0.5485114881675631,0.0677,3,S*,T1-T2-T5
T2-T1-T5,3.620078990540414e-07,3.11580880774961e-06,-0.3967,3,M***,T1-T2-T5
T2-T5-T1,0.2014039372254131,0.355009134849121,-0.0783,3,S*,T1-T2-T5
T5-T1-T2,0.6493315105209656,0.6638924497213876,-0.0047,3,S*,T1-T2-T5
T5-T2-T1,0.8556763599946458,0.5928842297041519,-0.0035,3,S*,T1-T2-T5
T1-T4-T5,1.7552593804744289e-12,1.2083311134502275e-10,-0.5458,3,L***,T1-T4-T5
T1-T5-T4,3.4647156459677116e-14,2.0054305859045487e-10,-0.5755,3,L***,T1-T4-T5
T4-T1-T5,4.35016043707135e-15,3.6218683262649065e-11,-0.5935,3,L***,T1-T4-T5
T4-T5-T1,2.0985988240142514e-06,1.982261698794412e-06,-0.3594,3,M***,T1-T4-T5
T5-T1-T4,8.762735089811333e-12,1.833389420491585e-09,-0.5102,3,L***,T1-T4-T5
T5-T4-T1,8.920888101832999e-09,1.713499642423561e-07,-0.4515,3,L***,T1-T4-T5
T1-T2-T4-T5,1.183043258177883e-15,3.727238031694498e-12,-0.6195,4,L***,T1-T2-T4-T5
T1-T2-T5-T4,6.814550703602609e-06,8.86933461601491e-05,-0.3361,4,M***,T1-T2-T4-T5
T1-T4-T2-T5,4.01130816152012e-10,2.7816086920333643e-08,-0.4839,4,L***,T1-T2-T4-T5
T1-T4-T5-T2,0.1806103733753872,0.2486793342715433,-0.0919,4,S*,T1-T2-T4-T5
T1-T5-T2-T4,8.453557705057532e-07,6.825202390125094e-06,-0.3685,4,M***,T1-T2-T4-T5
T1-T5-T4-T2,0.5505273958202109,0.5105865615426545,-0.033,4,S*,T1-T2-T4-T5
T2-T1-T4-T5,5.7341064075576384e-18,1.3933555328579826e-12,-0.6572,4,L***,T1-T2-T4-T5
T2-T1-T5-T4,8.859323437142251e-08,2.620987104053467e-06,-0.4192,4,M***,T1-T2-T4-T5
T2-T4-T1-T5,3.4249671186421363e-09,5.261488174749142e-07,-0.4537,4,L***,T1-T2-T4-T5
T2-T4-T5-T1,0.0443330388152056,0.0272846703673588,-0.1384,4,S**,T1-T2-T4-T5
T2-T5-T1-T4,0.1267743602726752,0.0541707073583151,-0.1197,4,S*,T1-T2-T4-T5
T2-T5-T4-T1,0.0880191309968478,0.2020887384250457,-0.1091,4,S*,T1-T2-T4-T5
T4-T1-T2-T5,3.4788802208516553e-08,6.573477691780314e-07,-0.4196,4,M***,T1-T2-T4-T5
T4-T1-T5-T2,0.0023769335333884,0.0045838997170671,-0.219,4,S***,T1-T2-T4-T5
T4-T2-T1-T5,1.7128775500143585e-13,8.278065775110136e-11,-0.5664,4,L***,T1-T2-T4-T5
T4-T2-T5-T1,0.0893335934268196,0.0894065992401188,-0.1243,4,S*,T1-T2-T4-T5
T4-T5-T1-T2,0.8408522667774515,0.8974064508995608,-0.003,4,S*,T1-T2-T4-T5
T4-T5-T2-T1,0.5599523523864153,0.346135227187157,0.0533,4,S*,T1-T2-T4-T5
T5-T1-T2-T4,7.924088670236471e-05,1.951093686876045e-05,-0.2841,4,M***,T1-T2-T4-T5
T5-T1-T4-T2,0.4092510627503036,0.5269586284167209,-0.0283,4,S*,T1-T2-T4-T5
T5-T2-T1-T4,0.0132523634748015,0.0070976775936846,-0.1836,4,S**,T1-T2-T4-T5
T5-T2-T4-T1,0.0115788886295317,0.0179185397159177,-0.1811,4,S**,T1-T2-T4-T5
T5-T4-T1-T2,0.5045309137139498,0.4514506924951723,0.0699,4,S*,T1-T2-T4-T5
T5-T4-T2-T1,0.0387726138257753,0.0402694390595018,0.164,4,S**,T1-T2-T4-T5
